PropertyID,PropertyCode,PropertyType,PropertyCategory,BuilderID,City,State,Country,Area,BuiltUpAreaSqFt,Bedrooms,Bathrooms,ParkingSlots,Facing,BasePrice,PricePerSqFt,TotalPropertyValue,LaunchDate,PossessionDate,ListingDate,AvailabilityStatus,FurnishingStatus,PropertyAgeYears,AgentID,OwnerID,Amenities,PropertyRating,PropertyStatus
13,PRJ-APT-0013,Villa,Residential,17,Bangalore,Karnataka,India,Bangalore Area,1218,3,1,1,South,9715986,7977,9715986,2020-06-15,2025-12-17,2023-08-05,No,Semi,0,75,246,"Pool,Gym,Lift",4.4,Under Construction
14,PRJ-APT-0014,Plot,Residential,4,Pune,Maharashtra,India,Pune Area,1805,3,2,1,West,15286545,8469,15286545,2019-08-06,2025-07-31,2024-06-09,Yes,Unfurnished,5,41,660,"Pool,Gym,Lift",3.5,Under Construction
15,PRJ-APT-0015,Villa,Residential,17,Ahmedabad,Gujarat,India,Ahmedabad Area,1485,4,4,0,South,8206110,5526,8206110,2020-03-05,2025-03-10,2022-05-25,No,Semi,8,59,204,"Pool,Gym,Lift",3.8,Under Construction
16,PRJ-APT-0016,Plot,Residential,19,Ahmedabad,Gujarat,India,Ahmedabad Area,1526,1,2,1,North,7199668,4718,7199668,2022-05-01,2023-08-07,2022-03-07,Yes,Unfurnished,1,52,298,"Pool,Gym,Lift",4.4,Under Construction
17,PRJ-APT-0017,Apartment,Residential,20,Chennai,Tamil Nadu,India,Chennai Area,2169,4,2,0,West,23431707,10803,23431707,2020-07-30,2023-06-06,2025-09-20,No,Unfurnished,5,27,815,"Pool,Gym,Lift",3,Leased
18,PRJ-APT-0018,Villa,Residential,19,Chennai,Tamil Nadu,India,Chennai Area,2050,2,3,0,West,14196250,6925,14196250,2021-02-03,2022-12-29,2022-11-24,No,Unfurnished,3,74,742,"Pool,Gym,Lift",3.9,Leased
19,PRJ-APT-0019,Apartment,Residential,2,Ahmedabad,Gujarat,India,Ahmedabad Area,2018,1,2,2,West,23241306,11517,23241306,2019-10-06,2022-11-19,2023-11-22,No,Unfurnished,1,40,610,"Pool,Gym,Lift",3.2,Sold
20,PRJ-APT-0020,Apartment,Residential,19,Hyderabad,Telangana,India,Hyderabad Area,1883,5,4,0,West,13314693,7071,13314693,2021-09-11,2025-05-26,2023-08-24,No,Unfurnished,7,38,370,"Pool,Gym,Lift",4.3,Available
21,PRJ-APT-0021,Plot,Residential,8,Bangalore,Karnataka,India,Bangalore Area,1059,1,3,0,West,8921016,8424,8921016,2020-11-06,2022-06-03,2023-10-01,Yes,Unfurnished,7,54,1000,"Pool,Gym,Lift",4,Leased
22,PRJ-APT-0022,Plot,Residential,5,Mumbai,Maharashtra,India,Mumbai Area,1627,1,3,2,North,13011119,7997,13011119,2021-03-27,2023-04-20,2023-04-09,Yes,Semi,2,44,235,"Pool,Gym,Lift",3.2,Available
23,PRJ-APT-0023,Villa,Residential,8,Bangalore,Karnataka,India,Bangalore Area,1900,2,3,0,South,19516800,10272,19516800,2022-10-30,2022-02-17,2024-08-02,Yes,Unfurnished,6,27,609,"Pool,Gym,Lift",3.3,Available
24,PRJ-APT-0024,Apartment,Residential,12,Mumbai,Maharashtra,India,Mumbai Area,785,2,2,1,North,5107995,6507,5107995,2022-05-29,2024-05-23,2023-03-05,No,Semi,10,65,291,"Pool,Gym,Lift",4.8,Available
25,PRJ-APT-0025,Plot,Residential,18,Mumbai,Maharashtra,India,Mumbai Area,2407,1,3,2,North,17580728,7304,17580728,2020-04-22,2024-07-08,2025-05-10,No,Semi,4,11,134,"Pool,Gym,Lift",4.7,Leased
26,PRJ-APT-0026,Apartment,Residential,13,Pune,Maharashtra,India,Pune Area,1169,2,4,2,North,6768510,5790,6768510,2020-11-18,2024-10-12,2024-01-26,Yes,Fully,0,89,195,"Pool,Gym,Lift",3.9,Leased
27,PRJ-APT-0027,Plot,Residential,9,Mumbai,Maharashtra,India,Mumbai Area,600,1,1,1,West,6013800,10023,6013800,2020-03-02,2025-11-13,2022-03-27,Yes,Unfurnished,2,72,956,"Pool,Gym,Lift",3.5,Under Construction
28,PRJ-APT-0028,Plot,Residential,15,Pune,Maharashtra,India,Pune Area,1877,2,2,2,East,17610014,9382,17610014,2022-09-08,2024-01-18,2021-06-06,No,Unfurnished,4,49,988,"Pool,Gym,Lift",4.9,Sold
29,PRJ-APT-0029,Villa,Residential,9,Bangalore,Karnataka,India,Bangalore Area,1482,4,2,1,South,11543298,7789,11543298,2020-12-01,2022-09-13,2023-10-18,Yes,Fully,6,86,12,"Pool,Gym,Lift",3.5,Available
30,PRJ-APT-0030,Villa,Residential,2,Pune,Maharashtra,India,Pune Area,2214,4,4,1,East,23897916,10794,23897916,2020-09-28,2024-02-14,2022-06-12,Yes,Fully,9,80,670,"Pool,Gym,Lift",3.8,Under Construction
31,PRJ-APT-0031,Villa,Residential,5,Hyderabad,Telangana,India,Hyderabad Area,2091,4,2,1,North,19446300,9300,19446300,2019-12-02,2024-09-23,2021-03-22,No,Fully,0,76,897,"Pool,Gym,Lift",5,Available
32,PRJ-APT-0032,Apartment,Residential,17,Chennai,Tamil Nadu,India,Chennai Area,1736,1,1,2,North,12669328,7298,12669328,2022-01-31,2024-04-21,2025-05-10,No,Semi,2,86,144,"Pool,Gym,Lift",4.6,Under Construction
33,PRJ-APT-0033,Apartment,Residential,19,Delhi,Delhi,India,Delhi Area,789,2,4,1,West,6792501,8609,6792501,2022-04-22,2024-10-07,2024-04-03,No,Fully,2,55,119,"Pool,Gym,Lift",4.1,Sold
34,PRJ-APT-0034,Villa,Residential,14,Chennai,Tamil Nadu,India,Chennai Area,611,4,2,0,North,7286175,11925,7286175,2022-11-04,2022-07-08,2024-07-24,Yes,Semi,6,55,157,"Pool,Gym,Lift",4.4,Under Construction
35,PRJ-APT-0035,Villa,Residential,11,Delhi,Delhi,India,Delhi Area,1891,2,4,1,East,18272733,9663,18272733,2021-08-09,2022-04-05,2024-12-18,No,Semi,0,46,159,"Pool,Gym,Lift",3.2,Leased
36,PRJ-APT-0036,Villa,Residential,13,Mumbai,Maharashtra,India,Mumbai Area,2014,5,3,1,East,14603514,7251,14603514,2020-09-10,2025-11-07,2024-12-21,No,Semi,9,3,199,"Pool,Gym,Lift",4.6,Leased
37,PRJ-APT-0037,Villa,Residential,16,Pune,Maharashtra,India,Pune Area,1338,5,2,0,South,6731478,5031,6731478,2022-09-17,2024-03-11,2021-06-13,Yes,Unfurnished,6,41,146,"Pool,Gym,Lift",4.6,Leased
38,PRJ-APT-0038,Apartment,Residential,16,Delhi,Delhi,India,Delhi Area,1828,5,1,2,North,13101276,7167,13101276,2019-07-18,2024-05-18,2023-06-20,Yes,Semi,8,32,402,"Pool,Gym,Lift",3.8,Under Construction
39,PRJ-APT-0039,Apartment,Residential,3,Hyderabad,Telangana,India,Hyderabad Area,1663,4,4,1,West,18771944,11288,18771944,2019-05-15,2023-09-17,2021-12-26,Yes,Unfurnished,8,90,6,"Pool,Gym,Lift",4.9,Sold
40,PRJ-APT-0040,Plot,Residential,13,Hyderabad,Telangana,India,Hyderabad Area,1601,5,3,1,West,11684098,7298,11684098,2022-08-12,2024-12-18,2024-03-24,Yes,Semi,4,13,688,"Pool,Gym,Lift",3.3,Sold
41,PRJ-APT-0041,Apartment,Residential,19,Mumbai,Maharashtra,India,Mumbai Area,1874,2,1,2,West,20179232,10768,20179232,2019-09-28,2023-12-07,2022-12-12,No,Semi,5,17,948,"Pool,Gym,Lift",4.2,Leased
42,PRJ-APT-0042,Plot,Residential,15,Hyderabad,Telangana,India,Hyderabad Area,876,4,3,0,East,9960120,11370,9960120,2021-05-01,2025-03-31,2022-03-28,Yes,Semi,1,99,850,"Pool,Gym,Lift",4.2,Sold
43,PRJ-APT-0043,Apartment,Residential,20,Mumbai,Maharashtra,India,Mumbai Area,1404,5,4,0,West,12975768,9242,12975768,2021-10-06,2024-10-17,2023-10-13,No,Fully,0,37,180,"Pool,Gym,Lift",4.4,Leased
44,PRJ-APT-0044,Apartment,Residential,8,Ahmedabad,Gujarat,India,Ahmedabad Area,1640,3,4,2,North,18822280,11477,18822280,2020-05-11,2022-05-17,2023-10-01,No,Fully,6,94,716,"Pool,Gym,Lift",3.4,Available
45,PRJ-APT-0045,Apartment,Residential,18,Pune,Maharashtra,India,Pune Area,1723,4,4,0,East,9156022,5314,9156022,2019-04-18,2022-07-28,2021-05-24,No,Unfurnished,1,8,708,"Pool,Gym,Lift",3.2,Leased
46,PRJ-APT-0046,Apartment,Residential,7,Pune,Maharashtra,India,Pune Area,1785,3,4,2,East,18878160,10576,18878160,2021-06-30,2024-11-12,2021-01-25,Yes,Fully,10,97,855,"Pool,Gym,Lift",3,Available
47,PRJ-APT-0047,Apartment,Residential,4,Chennai,Tamil Nadu,India,Chennai Area,2287,3,1,1,East,25392561,11103,25392561,2021-08-14,2024-12-18,2024-03-30,No,Unfurnished,4,6,223,"Pool,Gym,Lift",3.7,Leased
48,PRJ-APT-0048,Plot,Residential,17,Chennai,Tamil Nadu,India,Chennai Area,1889,5,1,0,West,9388330,4970,9388330,2021-04-27,2022-11-07,2022-12-19,Yes,Unfurnished,10,61,354,"Pool,Gym,Lift",3.3,Under Construction
49,PRJ-APT-0049,Plot,Residential,2,Mumbai,Maharashtra,India,Mumbai Area,1219,2,2,1,East,8558599,7021,8558599,2021-06-08,2022-06-10,2022-10-20,Yes,Fully,1,59,460,"Pool,Gym,Lift",4.8,Available
50,PRJ-APT-0050,Apartment,Residential,6,Hyderabad,Telangana,India,Hyderabad Area,1586,3,2,1,North,18386498,11593,18386498,2022-02-24,2022-06-16,2022-10-08,Yes,Semi,2,34,428,"Pool,Gym,Lift",3.2,Under Construction
51,PRJ-APT-0051,Plot,Residential,17,Hyderabad,Telangana,India,Hyderabad Area,1350,4,4,1,East,7603200,5632,7603200,2022-06-29,2024-02-10,2021-07-15,No,Unfurnished,8,31,848,"Pool,Gym,Lift",4.2,Leased
52,PRJ-APT-0052,Villa,Residential,17,Delhi,Delhi,India,Delhi Area,1801,5,4,2,South,12261208,6808,12261208,2022-10-17,2023-07-17,2021-08-30,Yes,Fully,8,88,363,"Pool,Gym,Lift",3.4,Leased
53,PRJ-APT-0053,Villa,Residential,13,Pune,Maharashtra,India,Pune Area,2269,2,1,2,South,13511895,5955,13511895,2019-07-14,2022-12-24,2023-10-11,Yes,Semi,4,17,1,"Pool,Gym,Lift",3.3,Sold
54,PRJ-APT-0054,Apartment,Residential,11,Delhi,Delhi,India,Delhi Area,2058,4,3,2,South,13484016,6552,13484016,2019-09-10,2023-08-10,2022-08-09,Yes,Semi,1,42,518,"Pool,Gym,Lift",4.7,Available
55,PRJ-APT-0055,Villa,Residential,9,Ahmedabad,Gujarat,India,Ahmedabad Area,1360,2,4,1,North,11774880,8658,11774880,2022-07-19,2022-10-07,2024-09-22,Yes,Semi,7,12,771,"Pool,Gym,Lift",4.4,Available
56,PRJ-APT-0056,Plot,Residential,14,Ahmedabad,Gujarat,India,Ahmedabad Area,1078,3,1,2,East,6729954,6243,6729954,2022-05-24,2025-03-13,2023-09-09,No,Unfurnished,9,10,858,"Pool,Gym,Lift",3.2,Leased
57,PRJ-APT-0057,Villa,Residential,10,Chennai,Tamil Nadu,India,Chennai Area,1535,3,1,0,South,14616270,9522,14616270,2020-03-03,2022-04-03,2025-08-14,Yes,Unfurnished,5,82,7,"Pool,Gym,Lift",4.3,Sold
58,PRJ-APT-0058,Plot,Residential,6,Delhi,Delhi,India,Delhi Area,650,4,1,0,East,5256550,8087,5256550,2020-05-30,2022-07-01,2022-06-28,Yes,Semi,5,43,929,"Pool,Gym,Lift",4.8,Under Construction
59,PRJ-APT-0059,Plot,Residential,5,Hyderabad,Telangana,India,Hyderabad Area,1288,4,2,1,East,10957016,8507,10957016,2021-05-14,2025-04-20,2023-11-21,Yes,Semi,3,62,66,"Pool,Gym,Lift",4.5,Leased
60,PRJ-APT-0060,Plot,Residential,7,Delhi,Delhi,India,Delhi Area,1147,4,4,0,West,4647644,4052,4647644,2021-04-26,2025-04-11,2025-10-02,No,Unfurnished,0,35,145,"Pool,Gym,Lift",3,Available
61,PRJ-APT-0061,Plot,Residential,3,Hyderabad,Telangana,India,Hyderabad Area,2387,4,4,2,North,19850292,8316,19850292,2020-05-15,2024-10-13,2022-11-29,No,Unfurnished,1,5,654,"Pool,Gym,Lift",3.7,Leased
62,PRJ-APT-0062,Plot,Residential,11,Hyderabad,Telangana,India,Hyderabad Area,1599,3,4,0,South,10355124,6476,10355124,2020-12-04,2023-05-05,2025-10-24,No,Unfurnished,0,85,199,"Pool,Gym,Lift",4.4,Available
63,PRJ-APT-0063,Apartment,Residential,8,Delhi,Delhi,India,Delhi Area,1286,5,4,1,West,7646556,5946,7646556,2019-11-08,2022-03-31,2024-02-09,No,Unfurnished,8,8,471,"Pool,Gym,Lift",4,Sold
64,PRJ-APT-0064,Apartment,Residential,4,Chennai,Tamil Nadu,India,Chennai Area,1580,3,3,1,South,13894520,8794,13894520,2021-07-16,2023-12-20,2024-09-06,No,Semi,0,66,654,"Pool,Gym,Lift",4.7,Leased
65,PRJ-APT-0065,Villa,Residential,13,Ahmedabad,Gujarat,India,Ahmedabad Area,1613,3,3,0,South,8881178,5506,8881178,2022-10-21,2023-01-19,2021-12-24,No,Semi,6,76,116,"Pool,Gym,Lift",3.6,Under Construction
66,PRJ-APT-0066,Villa,Residential,4,Chennai,Tamil Nadu,India,Chennai Area,621,4,4,2,North,2867157,4617,2867157,2019-12-13,2022-04-01,2022-02-20,No,Semi,7,13,830,"Pool,Gym,Lift",4.1,Leased
67,PRJ-APT-0067,Plot,Residential,16,Chennai,Tamil Nadu,India,Chennai Area,699,5,2,1,West,5391387,7713,5391387,2020-11-16,2022-09-25,2021-02-12,Yes,Semi,8,91,982,"Pool,Gym,Lift",3.6,Under Construction
68,PRJ-APT-0068,Apartment,Residential,6,Delhi,Delhi,India,Delhi Area,1108,5,1,0,West,8757632,7904,8757632,2019-01-25,2023-06-02,2025-06-07,Yes,Semi,9,67,985,"Pool,Gym,Lift",4.7,Sold
69,PRJ-APT-0069,Villa,Residential,18,Bangalore,Karnataka,India,Bangalore Area,1910,5,2,0,East,17239660,9026,17239660,2020-02-23,2022-06-26,2021-10-08,Yes,Fully,5,59,367,"Pool,Gym,Lift",4.3,Available
70,PRJ-APT-0070,Plot,Residential,19,Bangalore,Karnataka,India,Bangalore Area,1294,5,3,1,North,9928862,7673,9928862,2022-05-28,2024-02-08,2023-05-12,No,Fully,2,36,962,"Pool,Gym,Lift",3.4,Under Construction
71,PRJ-APT-0071,Plot,Residential,12,Ahmedabad,Gujarat,India,Ahmedabad Area,1477,3,1,0,West,9412921,6373,9412921,2019-01-13,2022-01-08,2021-12-20,Yes,Semi,3,21,328,"Pool,Gym,Lift",3.8,Available
72,PRJ-APT-0072,Villa,Residential,13,Bangalore,Karnataka,India,Bangalore Area,825,1,2,2,East,3841200,4656,3841200,2021-04-09,2024-01-29,2022-12-15,No,Fully,1,75,760,"Pool,Gym,Lift",4.8,Under Construction
73,PRJ-APT-0073,Plot,Residential,10,Mumbai,Maharashtra,India,Mumbai Area,1486,3,2,2,North,11116766,7481,11116766,2022-03-01,2024-05-07,2023-03-23,Yes,Semi,8,9,113,"Pool,Gym,Lift",4.8,Leased
74,PRJ-APT-0074,Villa,Residential,20,Chennai,Tamil Nadu,India,Chennai Area,757,3,1,2,West,5719892,7556,5719892,2020-03-20,2025-03-31,2024-04-16,Yes,Fully,8,86,377,"Pool,Gym,Lift",4.3,Sold
75,PRJ-APT-0075,Villa,Residential,16,Delhi,Delhi,India,Delhi Area,1940,4,2,1,North,19630860,10119,19630860,2022-08-11,2022-01-31,2022-10-12,Yes,Semi,4,46,582,"Pool,Gym,Lift",3.6,Under Construction
76,PRJ-APT-0076,Apartment,Residential,9,Ahmedabad,Gujarat,India,Ahmedabad Area,2494,2,1,0,West,19091570,7655,19091570,2019-01-28,2025-01-24,2023-07-04,Yes,Semi,8,38,201,"Pool,Gym,Lift",4.1,Sold
77,PRJ-APT-0077,Villa,Residential,18,Ahmedabad,Gujarat,India,Ahmedabad Area,1655,5,2,0,South,13178765,7963,13178765,2021-05-30,2023-12-12,2022-09-13,No,Semi,7,3,37,"Pool,Gym,Lift",4,Under Construction
78,PRJ-APT-0078,Plot,Residential,17,Hyderabad,Telangana,India,Hyderabad Area,944,3,3,2,North,8984048,9517,8984048,2019-09-01,2025-04-16,2024-06-08,No,Fully,8,74,494,"Pool,Gym,Lift",3.9,Under Construction
79,PRJ-APT-0079,Villa,Residential,5,Bangalore,Karnataka,India,Bangalore Area,606,1,4,0,North,3512982,5797,3512982,2022-02-07,2022-02-05,2025-10-28,Yes,Fully,8,48,530,"Pool,Gym,Lift",3.2,Under Construction
80,PRJ-APT-0080,Plot,Residential,19,Ahmedabad,Gujarat,India,Ahmedabad Area,1207,3,3,2,South,10152077,8411,10152077,2022-02-13,2022-03-16,2025-04-22,No,Fully,9,76,50,"Pool,Gym,Lift",3.6,Sold
81,PRJ-APT-0081,Apartment,Residential,11,Mumbai,Maharashtra,India,Mumbai Area,2342,2,2,2,North,26040698,11119,26040698,2019-05-03,2022-04-08,2025-07-19,No,Semi,5,55,981,"Pool,Gym,Lift",3.6,Under Construction
82,PRJ-APT-0082,Plot,Residential,7,Delhi,Delhi,India,Delhi Area,630,2,1,2,South,3112200,4940,3112200,2021-01-07,2024-09-18,2025-02-21,No,Unfurnished,6,80,350,"Pool,Gym,Lift",4.9,Under Construction
83,PRJ-APT-0083,Villa,Residential,17,Bangalore,Karnataka,India,Bangalore Area,1538,1,1,2,East,12668506,8237,12668506,2021-03-12,2024-05-30,2023-06-16,No,Unfurnished,9,81,861,"Pool,Gym,Lift",4.7,Available
84,PRJ-APT-0084,Plot,Residential,2,Hyderabad,Telangana,India,Hyderabad Area,1143,1,4,0,West,11857482,10374,11857482,2020-10-23,2023-06-02,2025-10-01,No,Fully,3,27,22,"Pool,Gym,Lift",4.6,Available
85,PRJ-APT-0085,Plot,Residential,6,Hyderabad,Telangana,India,Hyderabad Area,1393,5,4,2,West,7721399,5543,7721399,2020-09-08,2024-05-03,2022-08-16,Yes,Fully,1,46,865,"Pool,Gym,Lift",4.9,Under Construction
86,PRJ-APT-0086,Apartment,Residential,20,Bangalore,Karnataka,India,Bangalore Area,1596,5,3,1,North,18770556,11761,18770556,2020-07-16,2024-02-10,2021-08-19,Yes,Semi,7,86,746,"Pool,Gym,Lift",5,Sold
87,PRJ-APT-0087,Apartment,Residential,12,Ahmedabad,Gujarat,India,Ahmedabad Area,2023,2,3,2,East,17294627,8549,17294627,2021-07-13,2023-01-24,2024-05-31,Yes,Fully,2,27,798,"Pool,Gym,Lift",4.1,Available
88,PRJ-APT-0088,Villa,Residential,3,Delhi,Delhi,India,Delhi Area,2104,1,1,0,North,23131376,10994,23131376,2019-03-01,2023-09-14,2021-12-10,Yes,Semi,1,51,569,"Pool,Gym,Lift",3.5,Leased
89,PRJ-APT-0089,Villa,Residential,9,Hyderabad,Telangana,India,Hyderabad Area,1954,4,4,0,South,13396624,6856,13396624,2021-07-03,2024-01-29,2025-09-15,No,Fully,2,3,569,"Pool,Gym,Lift",3.1,Available
90,PRJ-APT-0090,Plot,Residential,13,Delhi,Delhi,India,Delhi Area,2264,5,3,1,South,11168312,4933,11168312,2019-10-10,2024-02-17,2025-05-11,No,Fully,6,22,189,"Pool,Gym,Lift",3,Sold
91,PRJ-APT-0091,Villa,Residential,18,Bangalore,Karnataka,India,Bangalore Area,1338,1,4,2,North,8456160,6320,8456160,2022-03-22,2025-05-25,2024-12-08,Yes,Fully,6,66,328,"Pool,Gym,Lift",4.8,Leased
92,PRJ-APT-0092,Apartment,Residential,11,Ahmedabad,Gujarat,India,Ahmedabad Area,1871,1,2,1,West,13448748,7188,13448748,2020-07-25,2022-05-22,2024-12-09,No,Unfurnished,3,11,911,"Pool,Gym,Lift",4.2,Sold
93,PRJ-APT-0093,Apartment,Residential,20,Delhi,Delhi,India,Delhi Area,1442,2,2,1,East,8265544,5732,8265544,2020-10-08,2024-03-04,2022-03-24,No,Semi,6,21,904,"Pool,Gym,Lift",4,Leased
94,PRJ-APT-0094,Apartment,Residential,4,Chennai,Tamil Nadu,India,Chennai Area,2326,2,3,2,West,24041536,10336,24041536,2020-06-03,2024-05-21,2024-12-28,Yes,Fully,9,3,3,"Pool,Gym,Lift",3.5,Sold
95,PRJ-APT-0095,Villa,Residential,14,Mumbai,Maharashtra,India,Mumbai Area,2414,5,4,1,South,21199748,8782,21199748,2022-10-06,2023-06-01,2025-07-11,No,Unfurnished,5,25,988,"Pool,Gym,Lift",3.4,Sold
96,PRJ-APT-0096,Villa,Residential,16,Hyderabad,Telangana,India,Hyderabad Area,2227,2,2,0,South,9780984,4392,9780984,2020-05-09,2023-02-02,2025-01-14,No,Fully,7,26,373,"Pool,Gym,Lift",3.5,Available
97,PRJ-APT-0097,Apartment,Residential,17,Hyderabad,Telangana,India,Hyderabad Area,2076,1,3,0,North,21121224,10174,21121224,2022-12-19,2025-03-05,2023-10-09,No,Fully,2,57,101,"Pool,Gym,Lift",4.4,Under Construction
98,PRJ-APT-0098,Apartment,Residential,13,Hyderabad,Telangana,India,Hyderabad Area,1919,5,4,1,West,13237262,6898,13237262,2019-11-01,2022-11-14,2023-10-15,No,Unfurnished,10,41,789,"Pool,Gym,Lift",4.5,Under Construction
99,PRJ-APT-0099,Plot,Residential,12,Bangalore,Karnataka,India,Bangalore Area,2207,2,4,2,North,20684004,9372,20684004,2022-10-03,2024-02-16,2022-12-05,Yes,Fully,5,52,43,"Pool,Gym,Lift",4.1,Available
100,PRJ-APT-0100,Apartment,Residential,16,Bangalore,Karnataka,India,Bangalore Area,2437,1,2,2,North,26078337,10701,26078337,2020-01-16,2025-08-22,2022-10-07,No,Fully,9,20,972,"Pool,Gym,Lift",4.1,Under Construction
101,PRJ-APT-0101,Villa,Residential,18,Hyderabad,Telangana,India,Hyderabad Area,2111,1,2,1,West,18872340,8940,18872340,2020-08-26,2023-09-30,2023-08-06,No,Semi,5,67,859,"Pool,Gym,Lift",4.7,Sold
102,PRJ-APT-0102,Plot,Residential,2,Delhi,Delhi,India,Delhi Area,1692,5,4,0,West,9720540,5745,9720540,2020-05-02,2024-05-19,2025-05-15,Yes,Fully,2,94,467,"Pool,Gym,Lift",5,Sold
103,PRJ-APT-0103,Apartment,Residential,16,Hyderabad,Telangana,India,Hyderabad Area,1018,5,1,2,South,10830502,10639,10830502,2021-05-01,2023-07-26,2025-12-18,No,Fully,9,98,364,"Pool,Gym,Lift",3.8,Under Construction
104,PRJ-APT-0104,Villa,Residential,6,Bangalore,Karnataka,India,Bangalore Area,809,4,4,2,West,8068157,9973,8068157,2019-06-25,2025-02-05,2021-02-27,No,Fully,9,30,152,"Pool,Gym,Lift",3,Sold
105,PRJ-APT-0105,Villa,Residential,7,Mumbai,Maharashtra,India,Mumbai Area,826,1,1,1,West,6253646,7571,6253646,2022-10-18,2022-07-03,2025-04-04,Yes,Semi,9,41,623,"Pool,Gym,Lift",3.3,Under Construction
106,PRJ-APT-0106,Apartment,Residential,16,Bangalore,Karnataka,India,Bangalore Area,1662,2,1,2,East,18614400,11200,18614400,2020-04-28,2023-03-27,2021-05-15,Yes,Unfurnished,8,100,272,"Pool,Gym,Lift",4.6,Sold
107,PRJ-APT-0107,Villa,Residential,9,Ahmedabad,Gujarat,India,Ahmedabad Area,1268,1,1,1,West,8822744,6958,8822744,2019-01-09,2025-12-06,2022-04-29,No,Unfurnished,7,31,131,"Pool,Gym,Lift",4,Leased
108,PRJ-APT-0108,Apartment,Residential,3,Delhi,Delhi,India,Delhi Area,2476,2,1,2,South,21125232,8532,21125232,2022-03-11,2024-12-25,2025-01-17,Yes,Unfurnished,6,98,839,"Pool,Gym,Lift",3.8,Sold
109,PRJ-APT-0109,Apartment,Residential,8,Bangalore,Karnataka,India,Bangalore Area,681,3,1,2,South,6906021,10141,6906021,2021-09-12,2023-11-29,2025-07-25,No,Fully,0,21,871,"Pool,Gym,Lift",3.5,Leased
110,PRJ-APT-0110,Plot,Residential,4,Bangalore,Karnataka,India,Bangalore Area,671,2,2,1,West,5948415,8865,5948415,2020-02-06,2025-04-03,2023-01-25,Yes,Unfurnished,3,76,467,"Pool,Gym,Lift",4.6,Under Construction
