SalesID,PropertyID,AgentID,CustomerID,SaleDate,AgreementDate,RegistrationDate,PropertyType,City,BasePrice,DiscountAmount,FinalSalePrice,GSTAmount,RegistrationCharges,TotalDealValue,CommissionPercent,CommissionAmount,SaleType,PaymentType,LoanRequired,BankName,LoanAmount,DownPaymentAmount,State,ProjectName,SaleStatus
19,3767,15,555,2021-02-07,2021-01-18,2021-02-22,Villa,Hyderabad,16282120,451708,15830412,791520,949824,17571756,3,474912,Resale,Mixed,Yes,SBI,3717853,742065,Karnataka,Greenfield Garden,Negotiation
20,2466,100,613,2021-06-13,2021-05-24,2021-06-28,Villa,Mumbai,7734365,191656,7542709,377135,452562,8372406,2,150854,Resale,Cash,Yes,Kotak,9576222,3641461,Tamil Nadu,Silver Enclave,Lost
21,1491,68,791,2022-04-10,2022-03-21,2022-04-25,Plot,Hyderabad,15908908,487222,15421686,771084,925301,17118071,3,462650,Resale,Mixed,No,ICICI,8443718,681196,Delhi,Sunrise Vista,Lead
22,4538,66,77,2023-06-09,2023-05-20,2023-06-24,Villa,Ahmedabad,15142786,264640,14878146,743907,892688,16514741,3,446344,Resale,Mixed,Yes,Axis,8610842,1068713,Tamil Nadu,Skyline Park,Agreement Signed
23,1403,67,684,2022-12-14,2022-11-24,2022-12-29,Plot,Chennai,13638764,164484,13474280,673714,808456,14956450,1,134742,Resale,Cash,Yes,Axis,9379928,631319,Karnataka,Royal Residency,Lead
24,773,29,175,2022-02-10,2022-01-21,2022-02-25,Villa,Chennai,13748228,386147,13362081,668104,801724,14831909,1,133620,Resale,Mixed,Yes,HDFC,7542218,1722943,Delhi,Emerald Homes,Booked
25,4391,1,3,2022-06-27,2022-06-07,2022-07-12,Plot,Delhi,4772865,364392,4408473,220423,264508,4893404,2,88169,Resale,Loan,Yes,Axis,9441636,2599629,Delhi,Emerald Residency,Registered
26,729,69,855,2024-01-20,2023-12-31,2024-02-04,Apartment,Chennai,5461895,223420,5238475,261923,314308,5814706,3,157154,Resale,Loan,Yes,ICICI,4021387,3704748,Delhi,Greenfield Garden,Booked
27,4712,94,551,2022-12-04,2022-11-14,2022-12-19,Apartment,Chennai,14624949,66961,14557988,727899,873479,16159366,1,145579,Resale,Mixed,Yes,SBI,7765502,2323643,Telangana,Urban Homes,Registered
28,3906,23,145,2022-01-22,2022-01-02,2022-02-06,Apartment,Pune,9936205,414949,9521256,476062,571275,10568593,2,190425,Resale,Mixed,Yes,Kotak,4210383,3846199,Maharashtra,Emerald Residency,Negotiation
29,689,74,192,2021-05-28,2021-05-08,2021-06-12,Villa,Delhi,8634931,362385,8272546,413627,496352,9182525,1,82725,Resale,Mixed,Yes,SBI,1111801,3396407,Gujarat,Skyline Vista,Cancelled
30,2222,81,162,2023-08-16,2023-07-27,2023-08-31,Plot,Pune,10743157,215623,10527534,526376,631652,11685562,3,315826,Resale,Cash,No,SBI,3552426,1550298,Maharashtra,Greenfield Vista,Negotiation
31,673,26,954,2022-04-02,2022-03-13,2022-04-17,Villa,Bangalore,9029893,168603,8861290,443064,531677,9836031,2,177225,New Sale,Cash,No,ICICI,3201206,4559082,Tamil Nadu,Sunrise Towers,Lost
32,4485,65,556,2022-10-15,2022-09-25,2022-10-30,Villa,Pune,16432029,274581,16157448,807872,969446,17934766,2,323148,Resale,Mixed,Yes,HDFC,2745562,3596729,Tamil Nadu,Royal Towers,Booked
33,1407,49,261,2025-05-01,2025-04-11,2025-05-16,Plot,Chennai,11694183,460442,11233741,561687,674024,12469452,1,112337,New Sale,Mixed,No,HDFC,4745038,1235823,Karnataka,Urban Heights,Cancelled
34,1714,51,794,2022-04-07,2022-03-18,2022-04-22,Apartment,Ahmedabad,9043306,155365,8887941,444397,533276,9865614,2,177758,Resale,Cash,No,HDFC,2837659,1084019,Maharashtra,Greenfield Plaza,Lead
35,4552,99,368,2021-10-29,2021-10-09,2021-11-13,Plot,Chennai,11427825,184975,11242850,562142,674571,12479563,1,112428,Resale,Cash,Yes,SBI,7729095,2820946,Telangana,Urban Heights,Site Visit
36,3967,75,564,2021-06-02,2021-05-13,2021-06-17,Villa,Bangalore,6698838,99681,6599157,329957,395949,7325063,2,131983,Resale,Loan,No,Kotak,9553492,4200287,Delhi,Sunrise Heights,Cancelled
37,671,16,996,2022-09-16,2022-08-27,2022-10-01,Villa,Ahmedabad,14398657,498346,13900311,695015,834018,15429344,3,417009,Resale,Loan,Yes,Axis,1037142,4556673,Telangana,Royal Residency,Lost
38,3556,87,75,2021-02-26,2021-02-06,2021-03-13,Plot,Pune,11419214,340112,11079102,553955,664746,12297803,2,221582,Resale,Cash,No,SBI,5939189,1741126,Maharashtra,Emerald Garden,Cancelled
39,420,15,482,2021-01-26,2021-01-06,2021-02-10,Villa,Chennai,7479210,136997,7342213,367110,440532,8149855,2,146844,Resale,Cash,No,Kotak,4789788,3654088,Maharashtra,Silver Enclave,Lead
40,4096,76,620,2024-08-26,2024-08-06,2024-09-10,Plot,Delhi,15492204,191928,15300276,765013,918016,16983305,2,306005,Resale,Cash,No,Axis,3029412,3182290,Telangana,Elite Homes,Site Visit
41,3190,59,545,2024-12-08,2024-11-18,2024-12-23,Villa,Chennai,9023080,389062,8634018,431700,518041,9583759,2,172680,New Sale,Loan,No,Axis,3683339,1024340,Karnataka,Silver Apartments,Registered
42,4998,9,239,2024-07-11,2024-06-21,2024-07-26,Apartment,Ahmedabad,15065626,481748,14583878,729193,875032,16188103,2,291677,New Sale,Cash,Yes,HDFC,2111811,2035624,Karnataka,Golden Plaza,Agreement Signed
43,4755,16,258,2024-09-09,2024-08-20,2024-09-24,Apartment,Ahmedabad,16099920,167463,15932457,796622,955947,17685026,3,477973,Resale,Mixed,Yes,Axis,9270529,4736778,Tamil Nadu,Skyline Heights,Site Visit
44,1471,83,733,2024-06-26,2024-06-06,2024-07-11,Villa,Chennai,9340997,189348,9151649,457582,549098,10158329,1,91516,Resale,Mixed,Yes,Kotak,1967425,4880435,Maharashtra,Golden Residency,Cancelled
45,4898,43,788,2024-07-26,2024-07-06,2024-08-10,Apartment,Mumbai,11391621,325676,11065945,553297,663956,12283198,3,331978,Resale,Cash,No,ICICI,3410602,2304178,Delhi,Skyline Park,Lead
46,606,98,32,2024-06-20,2024-05-31,2024-07-05,Villa,Hyderabad,14637935,296945,14340990,717049,860459,15918498,2,286819,Resale,Loan,No,ICICI,1122705,4471812,Gujarat,Elite Enclave,Agreement Signed
47,2116,64,434,2025-05-06,2025-04-16,2025-05-21,Apartment,Chennai,10988283,117876,10870407,543520,652224,12066151,3,326112,New Sale,Cash,No,HDFC,2706876,1657561,Telangana,Royal Park,Lost
48,1136,63,543,2021-09-16,2021-08-27,2021-10-01,Villa,Hyderabad,8215449,309152,7906297,395314,474377,8775988,1,79062,Resale,Cash,Yes,Kotak,1302055,1576176,Delhi,Elite Homes,Cancelled
49,3214,83,672,2025-09-30,2025-09-10,2025-10-15,Plot,Chennai,10488024,7576,10480448,524022,628826,11633296,2,209608,New Sale,Loan,No,Axis,2677074,1737731,Maharashtra,Urban Heights,Site Visit
50,1413,23,372,2025-06-12,2025-05-23,2025-06-27,Plot,Chennai,8510193,348654,8161539,408076,489692,9059307,2,163230,Resale,Loan,No,ICICI,3985247,1723961,Maharashtra,Golden Residency,Agreement Signed
51,4103,99,709,2023-04-06,2023-03-17,2023-04-21,Plot,Delhi,8410977,116196,8294781,414739,497686,9207206,3,248843,Resale,Loan,Yes,HDFC,1089915,2385778,Gujarat,Palm Heights,Lost
52,150,32,381,2021-08-28,2021-08-08,2021-09-12,Villa,Delhi,11503412,62762,11440650,572032,686439,12699121,1,114406,New Sale,Loan,Yes,HDFC,1295745,1171197,Tamil Nadu,Palm Garden,Registered
53,379,15,870,2022-12-03,2022-11-13,2022-12-18,Villa,Delhi,16912970,250568,16662402,833120,999744,18495266,2,333248,Resale,Cash,No,Kotak,4484888,4330365,Tamil Nadu,Urban Heights,Booked
54,2823,24,403,2025-03-25,2025-03-05,2025-04-09,Apartment,Ahmedabad,8407586,418399,7989187,399459,479351,8867997,2,159783,Resale,Cash,Yes,ICICI,7869889,2051832,Delhi,Elite Enclave,Lost
55,1500,73,488,2025-11-29,2025-11-09,2025-12-14,Plot,Hyderabad,10064271,272713,9791558,489577,587493,10868628,2,195831,New Sale,Loan,No,SBI,5830596,2611745,Gujarat,Elite Park,Agreement Signed
56,2195,76,957,2021-04-17,2021-03-28,2021-05-02,Plot,Bangalore,7214808,243148,6971660,348583,418299,7738542,3,209149,Resale,Cash,Yes,ICICI,1243381,3942620,Telangana,Greenfield Vista,Site Visit
57,191,58,608,2025-05-12,2025-04-22,2025-05-27,Villa,Delhi,16343207,93612,16249595,812479,974975,18037049,1,162495,Resale,Mixed,No,SBI,4596653,1219119,Tamil Nadu,Greenfield Garden,Agreement Signed
58,230,52,935,2021-10-27,2021-10-07,2021-11-11,Apartment,Pune,7520193,278743,7241450,362072,434487,8038009,3,217243,Resale,Cash,Yes,SBI,5640517,883141,Tamil Nadu,Greenfield Residency,Agreement Signed
59,4931,95,255,2024-05-02,2024-04-12,2024-05-17,Apartment,Ahmedabad,5593039,409544,5183495,259174,311009,5753678,1,51834,Resale,Cash,Yes,Kotak,1140644,3046287,Maharashtra,Elite Enclave,Agreement Signed
60,3361,92,617,2022-08-03,2022-07-14,2022-08-18,Apartment,Delhi,14467493,332175,14135318,706765,848119,15690202,1,141353,New Sale,Mixed,Yes,SBI,2403646,4330891,Telangana,Palm Enclave,Lost
61,2361,33,72,2024-08-16,2024-07-27,2024-08-31,Villa,Hyderabad,7990569,426785,7563784,378189,453827,8395800,1,75637,Resale,Mixed,No,ICICI,7635294,3275620,Maharashtra,Palm Towers,Lost
62,240,40,830,2021-02-25,2021-02-05,2021-03-12,Plot,Bangalore,15712927,3929,15708998,785449,942539,17436986,2,314179,Resale,Mixed,No,HDFC,4921082,827274,Maharashtra,Skyline Vista,Lost
63,2840,8,574,2025-09-13,2025-08-24,2025-09-28,Villa,Chennai,5929563,122606,5806957,290347,348417,6445721,3,174208,New Sale,Mixed,Yes,Axis,4250818,1546287,Karnataka,Emerald Residency,Negotiation
64,210,77,50,2024-11-12,2024-10-23,2024-11-27,Apartment,Mumbai,4967491,418766,4548725,227436,272923,5049084,2,90974,Resale,Mixed,No,HDFC,4914794,4144538,Gujarat,Greenfield Garden,Lead
65,4474,95,730,2025-12-07,2025-11-17,2025-12-22,Apartment,Bangalore,14015223,259136,13756087,687804,825365,15269256,2,275121,New Sale,Cash,No,HDFC,9115492,4608654,Gujarat,Sunrise Apartments,Negotiation
66,2986,39,7,2022-08-26,2022-08-06,2022-09-10,Villa,Mumbai,11270844,248969,11021875,551093,661312,12234280,2,220437,New Sale,Mixed,No,Axis,9920603,4010827,Delhi,Greenfield Vista,Registered
67,2049,23,281,2021-09-06,2021-08-17,2021-09-21,Apartment,Mumbai,7689404,484858,7204546,360227,432272,7997045,3,216136,New Sale,Mixed,Yes,Kotak,4309391,3678715,Gujarat,Emerald Vista,Lead
68,2512,19,253,2021-04-10,2021-03-21,2021-04-25,Apartment,Hyderabad,6897501,209390,6688111,334405,401286,7423802,3,200643,New Sale,Loan,No,HDFC,7527680,3731933,Karnataka,Silver Plaza,Booked
69,3469,72,773,2024-05-29,2024-05-09,2024-06-13,Apartment,Mumbai,18802966,247,18802719,940135,1128163,20871017,2,376054,New Sale,Mixed,Yes,HDFC,2518029,4106110,Telangana,Urban Enclave,Registered
70,3136,8,117,2025-08-27,2025-08-07,2025-09-11,Villa,Pune,18260486,302603,17957883,897894,1077472,19933249,3,538736,New Sale,Loan,Yes,SBI,9525776,925875,Maharashtra,Palm Garden,Lead
71,2116,29,32,2024-09-01,2024-08-12,2024-09-16,Plot,Mumbai,8173710,46750,8126960,406348,487617,9020925,3,243808,New Sale,Cash,No,Axis,9283909,4892162,Karnataka,Golden Towers,Lead
72,3219,37,688,2021-12-21,2021-12-01,2022-01-05,Villa,Mumbai,12488026,31096,12456930,622846,747415,13827191,2,249138,Resale,Loan,Yes,SBI,9783672,2225597,Tamil Nadu,Urban Heights,Negotiation
73,2990,58,742,2023-11-02,2023-10-13,2023-11-17,Plot,Hyderabad,17401126,174804,17226322,861316,1033579,19121217,1,172263,New Sale,Cash,Yes,HDFC,7284314,2842677,Telangana,Elite Homes,Lost
74,3557,19,900,2024-12-19,2024-11-29,2025-01-03,Plot,Mumbai,11739550,432059,11307491,565374,678449,12551314,3,339224,Resale,Cash,Yes,Axis,2122321,2857373,Telangana,Skyline Heights,Negotiation
75,2393,25,951,2022-09-10,2022-08-21,2022-09-25,Villa,Hyderabad,4803168,97354,4705814,235290,282348,5223452,3,141174,Resale,Cash,No,ICICI,6401016,2588290,Karnataka,Sunrise Vista,Registered
76,4,91,727,2021-06-23,2021-06-03,2021-07-08,Plot,Pune,10814223,411352,10402871,520143,624172,11547186,1,104028,Resale,Loan,Yes,ICICI,6488031,2881229,Karnataka,Urban Towers,Site Visit
77,1388,77,928,2025-02-08,2025-01-19,2025-02-23,Apartment,Ahmedabad,11859235,195178,11664057,583202,699843,12947102,3,349921,Resale,Mixed,No,SBI,7104145,3647561,Maharashtra,Urban Enclave,Registered
78,2129,64,463,2025-01-13,2024-12-24,2025-01-28,Villa,Chennai,17917431,120422,17797009,889850,1067820,19754679,1,177970,Resale,Mixed,No,ICICI,1297922,515664,Tamil Nadu,Sunrise Heights,Negotiation
79,3432,55,171,2024-01-22,2024-01-02,2024-02-06,Apartment,Delhi,13024215,5443,13018772,650938,781126,14450836,1,130187,Resale,Loan,No,Kotak,1770251,1964106,Gujarat,Royal Park,Site Visit
80,1855,65,972,2021-08-08,2021-07-19,2021-08-23,Apartment,Delhi,13849953,52105,13797848,689892,827870,15315610,2,275956,Resale,Mixed,Yes,Axis,3043332,2757115,Telangana,Golden Residency,Registered
81,2903,65,827,2022-08-24,2022-08-04,2022-09-08,Plot,Bangalore,5621166,266793,5354373,267718,321262,5943353,3,160631,New Sale,Mixed,No,ICICI,9492133,2258256,Karnataka,Silver Plaza,Site Visit
82,2988,1,49,2022-04-26,2022-04-06,2022-05-11,Villa,Bangalore,13836368,417295,13419073,670953,805144,14895170,3,402572,Resale,Loan,Yes,SBI,7817699,4976120,Karnataka,Palm Enclave,Registered
83,1589,27,289,2022-09-06,2022-08-17,2022-09-21,Villa,Ahmedabad,4749565,427889,4321676,216083,259300,4797059,1,43216,Resale,Cash,Yes,Axis,5752267,1333580,Telangana,Greenfield Garden,Cancelled
84,3670,18,605,2022-08-24,2022-08-04,2022-09-08,Plot,Delhi,17644516,474820,17169696,858484,1030181,19058361,3,515090,New Sale,Mixed,Yes,HDFC,2936741,2713950,Telangana,Skyline Enclave,Site Visit
85,3305,58,712,2022-07-13,2022-06-23,2022-07-28,Plot,Mumbai,13319367,60079,13259288,662964,795557,14717809,2,265185,New Sale,Loan,No,ICICI,6689711,3951312,Delhi,Emerald Homes,Lead
86,619,60,906,2024-11-01,2024-10-12,2024-11-16,Apartment,Delhi,9570964,138879,9432085,471604,565925,10469614,2,188641,Resale,Mixed,Yes,Axis,3412251,1866083,Delhi,Skyline Enclave,Lead
87,1206,83,953,2021-09-27,2021-09-07,2021-10-12,Villa,Mumbai,19383126,168197,19214929,960746,1152895,21328570,3,576447,New Sale,Mixed,Yes,HDFC,9532857,2803053,Maharashtra,Sunrise Heights,Negotiation
88,3032,12,129,2021-04-04,2021-03-15,2021-04-19,Villa,Pune,13103132,244444,12858688,642934,771521,14273143,3,385760,New Sale,Mixed,Yes,Axis,8565067,603468,Gujarat,Emerald Homes,Negotiation
89,2539,99,969,2024-05-23,2024-05-03,2024-06-07,Apartment,Pune,14999840,203704,14796136,739806,887768,16423710,2,295922,Resale,Loan,Yes,Axis,2122433,2447463,Telangana,Urban Heights,Agreement Signed
90,1441,42,852,2024-08-22,2024-08-02,2024-09-06,Apartment,Chennai,5083244,107794,4975450,248772,298527,5522749,2,99509,Resale,Mixed,Yes,HDFC,7932241,928616,Gujarat,Golden Towers,Negotiation
91,3335,38,704,2021-12-21,2021-12-01,2022-01-05,Villa,Chennai,14924823,286218,14638605,731930,878316,16248851,2,292772,New Sale,Cash,Yes,Axis,6196256,2453679,Gujarat,Silver Apartments,Lead
92,2813,84,761,2023-11-11,2023-10-22,2023-11-26,Apartment,Hyderabad,10885190,142549,10742641,537132,644558,11924331,2,214852,New Sale,Cash,No,ICICI,5779631,586182,Delhi,Greenfield Vista,Lead
93,4481,51,92,2022-04-18,2022-03-29,2022-05-03,Villa,Pune,7431946,447705,6984241,349212,419054,7752507,2,139684,Resale,Mixed,Yes,Kotak,1065935,4138314,Tamil Nadu,Royal Towers,Lost
94,2095,27,780,2025-08-11,2025-07-22,2025-08-26,Plot,Mumbai,16284628,333680,15950948,797547,957056,17705551,2,319018,Resale,Cash,Yes,Axis,4835683,2553399,Maharashtra,Golden Plaza,Lead
95,4086,77,414,2025-03-08,2025-02-16,2025-03-23,Plot,Delhi,8081974,315294,7766680,388334,466000,8621014,3,233000,Resale,Loan,Yes,Axis,1444068,2013557,Gujarat,Elite Enclave,Lead
96,629,90,414,2021-11-27,2021-11-07,2021-12-12,Villa,Chennai,8469208,20349,8448859,422442,506931,9378232,1,84488,New Sale,Loan,Yes,SBI,9304825,1151517,Maharashtra,Emerald Residency,Site Visit
97,1987,19,776,2021-01-13,2020-12-24,2021-01-28,Plot,Chennai,13868257,369838,13498419,674920,809905,14983244,2,269968,Resale,Loan,No,Kotak,4561917,845985,Maharashtra,Emerald Enclave,Lost
98,2171,29,296,2025-11-29,2025-11-09,2025-12-14,Apartment,Hyderabad,13807034,216762,13590272,679513,815416,15085201,3,407708,New Sale,Loan,No,Kotak,2516821,2363083,Maharashtra,Greenfield Vista,Lead
99,1284,73,603,2024-07-30,2024-07-10,2024-08-14,Villa,Ahmedabad,14595174,449045,14146129,707306,848767,15702202,1,141461,New Sale,Cash,Yes,Axis,6900954,725379,Karnataka,Silver Enclave,Lost
100,2979,66,666,2021-05-29,2021-05-09,2021-06-13,Plot,Delhi,17813653,460069,17353584,867679,1041215,19262478,3,520607,Resale,Cash,Yes,HDFC,5154895,2296551,Delhi,Royal Residency,Site Visit
101,4952,79,698,2023-04-06,2023-03-17,2023-04-21,Plot,Pune,18269913,50695,18219218,910960,1093153,20223331,2,364384,New Sale,Mixed,Yes,Kotak,9984138,3601024,Telangana,Emerald Enclave,Booked
102,900,64,503,2021-12-16,2021-11-26,2021-12-31,Plot,Delhi,18217726,456161,17761565,888078,1065693,19715336,2,355231,Resale,Cash,No,Axis,2664346,2543739,Telangana,Sunrise Heights,Negotiation
103,482,10,126,2022-11-19,2022-10-30,2022-12-04,Villa,Hyderabad,7823959,80975,7742984,387149,464579,8594712,3,232289,Resale,Mixed,Yes,ICICI,4530749,2898656,Gujarat,Emerald Residency,Site Visit
104,495,45,141,2024-08-02,2024-07-13,2024-08-17,Apartment,Ahmedabad,6543998,384013,6159985,307999,369599,6837583,1,61599,Resale,Cash,No,Axis,9337891,2915387,Tamil Nadu,Golden Plaza,Booked
105,4071,97,845,2025-09-01,2025-08-12,2025-09-16,Plot,Pune,4790918,284805,4506113,225305,270366,5001784,2,90122,New Sale,Mixed,Yes,Axis,4128338,4696500,Maharashtra,Palm Garden,Negotiation
106,3783,40,439,2025-12-15,2025-11-25,2025-12-30,Villa,Chennai,17953789,150594,17803195,890159,1068191,19761545,3,534095,Resale,Cash,Yes,ICICI,8226906,601405,Maharashtra,Emerald Garden,Lost
107,235,42,616,2025-12-27,2025-12-07,2026-01-11,Plot,Chennai,6313263,58476,6254787,312739,375287,6942813,2,125095,New Sale,Loan,No,Axis,5575528,2859299,Gujarat,Golden Residency,Registered
108,1394,89,117,2022-05-30,2022-05-10,2022-06-14,Plot,Pune,8016894,151067,7865827,393291,471949,8731067,3,235974,Resale,Mixed,No,Axis,9200797,4744616,Gujarat,Skyline Plaza,Agreement Signed
109,3528,66,208,2024-01-10,2023-12-21,2024-01-25,Villa,Chennai,9263236,350774,8912462,445623,534747,9892832,3,267373,New Sale,Loan,Yes,ICICI,1972504,565340,Gujarat,Greenfield Garden,Booked
110,1295,93,229,2023-12-07,2023-11-17,2023-12-22,Villa,Mumbai,15945545,281968,15663577,783178,939814,17386569,2,313271,Resale,Loan,No,ICICI,9900683,3581690,Maharashtra,Emerald Homes,Cancelled
111,1675,71,463,2024-07-17,2024-06-27,2024-08-01,Plot,Pune,11970104,136749,11833355,591667,710001,13135023,3,355000,Resale,Mixed,No,SBI,1201691,2825908,Maharashtra,Emerald Residency,Negotiation
112,4605,11,788,2022-03-12,2022-02-20,2022-03-27,Apartment,Pune,15889249,311281,15577968,778898,934678,17291544,1,155779,New Sale,Loan,Yes,SBI,9617360,2080922,Gujarat,Urban Heights,Booked
113,67,13,216,2023-04-17,2023-03-28,2023-05-02,Plot,Pune,7997690,327529,7670161,383508,460209,8513878,2,153403,New Sale,Loan,No,Axis,9000777,3758640,Gujarat,Urban Heights,Registered
114,224,11,546,2024-10-04,2024-09-14,2024-10-19,Apartment,Hyderabad,7684340,187414,7496926,374846,449815,8321587,3,224907,Resale,Mixed,Yes,Axis,6445619,2026151,Gujarat,Skyline Vista,Agreement Signed
115,1327,27,178,2024-06-05,2024-05-16,2024-06-20,Plot,Bangalore,14863379,426691,14436688,721834,866201,16024723,2,288733,Resale,Mixed,Yes,HDFC,1734267,1160793,Delhi,Palm Towers,Agreement Signed
116,3111,67,739,2021-05-16,2021-04-26,2021-05-31,Apartment,Mumbai,11456810,19873,11436937,571846,686216,12694999,3,343108,Resale,Cash,No,ICICI,1816988,1030691,Tamil Nadu,Skyline Vista,Registered
117,353,10,892,2023-12-18,2023-11-28,2024-01-02,Villa,Hyderabad,15700418,66403,15634015,781700,938040,17353755,1,156340,Resale,Cash,Yes,ICICI,9827318,2965819,Telangana,Sunrise Towers,Agreement Signed
118,1622,48,683,2024-11-19,2024-10-30,2024-12-04,Apartment,Mumbai,13531788,280611,13251177,662558,795070,14708805,1,132511,New Sale,Loan,No,ICICI,7885316,1914957,Karnataka,Emerald Enclave,Negotiation
119,3279,81,751,2022-11-14,2022-10-25,2022-11-29,Villa,Mumbai,10114522,131232,9983290,499164,598997,11081451,3,299498,New Sale,Loan,Yes,SBI,1396847,1068948,Gujarat,Urban Heights,Lead
120,3541,76,940,2024-03-13,2024-02-22,2024-03-28,Apartment,Pune,16521871,354723,16167148,808357,970028,17945533,2,323342,Resale,Loan,No,Kotak,3940978,1562630,Tamil Nadu,Royal Residency,Agreement Signed
121,2527,12,404,2023-05-18,2023-04-28,2023-06-02,Villa,Chennai,8416295,415429,8000866,400043,480051,8880960,2,160017,Resale,Mixed,No,HDFC,2372730,3040877,Delhi,Golden Residency,Agreement Signed
122,561,17,464,2024-11-19,2024-10-30,2024-12-04,Villa,Chennai,10667607,215293,10452314,522615,627138,11602067,3,313569,Resale,Cash,No,SBI,1573560,926319,Delhi,Urban Enclave,Negotiation
123,4105,22,390,2023-05-02,2023-04-12,2023-05-17,Villa,Chennai,4265386,35643,4229743,211487,253784,4695014,2,84594,Resale,Cash,No,SBI,4422748,3804287,Telangana,Urban Towers,Lead
124,4075,54,715,2022-08-30,2022-08-10,2022-09-14,Plot,Bangalore,18781993,115170,18666823,933341,1120009,20720173,1,186668,Resale,Cash,No,HDFC,8083125,4985600,Gujarat,Skyline Heights,Lost
