LeadID,CustomerID,AgentID,LeadCreatedDate,FirstContactDate,LastFollowUpDate,LeadSource,LeadType,LeadStatus,InterestedPropertyType,PreferredCity,BudgetMin,BudgetMax,ConvertedToSale,ConvertedToLease,ConversionDate
23,192,64,2023-05-26,2023-05-28,2023-06-10,Referral,Buy,New,Villa,Bangalore,2384808,15753156,Yes,Yes,2023-06-25
24,37,19,2021-03-05,2021-03-07,2021-03-20,Walk-in,Buy,Closed,Plot,Bangalore,3049952,19237949,Yes,No,2021-04-04
25,571,83,2023-03-28,2023-03-30,2023-04-12,Referral,Rent,In Progress,Villa,Chennai,4968470,13077141,Yes,No,2023-04-27
26,250,11,2023-03-19,2023-03-21,2023-04-03,Walk-in,Buy,Lost,Apartment,Delhi,4055441,7883769,No,No,
27,703,35,2023-08-30,2023-09-01,2023-09-14,Referral,Rent,New,Villa,Pune,4076859,18136062,Yes,No,2023-09-29
28,726,49,2024-12-07,2024-12-09,2024-12-22,Website,Rent,New,Villa,Ahmedabad,2407441,9287222,No,No,
29,722,62,2021-11-27,2021-11-29,2021-12-12,Referral,Rent,In Progress,Villa,Pune,3368179,19499569,No,No,
30,937,20,2021-04-07,2021-04-09,2021-04-22,Ads,Rent,Lost,Plot,Pune,3046267,9820882,Yes,No,2021-05-07
31,631,27,2023-01-20,2023-01-22,2023-02-04,Ads,Rent,In Progress,Plot,Chennai,4533395,13676555,No,No,
32,138,24,2025-11-06,2025-11-08,2025-11-21,Website,Rent,New,Villa,Hyderabad,2688635,16161700,Yes,No,2025-12-06
33,927,24,2022-12-30,2023-01-01,2023-01-14,Ads,Rent,Closed,Apartment,Chennai,2015448,19806284,No,No,
34,934,85,2025-10-12,2025-10-14,2025-10-27,Walk-in,Rent,Closed,Apartment,Mumbai,3126909,10929988,No,No,
35,874,28,2021-04-16,2021-04-18,2021-05-01,Walk-in,Rent,In Progress,Apartment,Hyderabad,4759234,10248538,Yes,Yes,2021-05-16
36,393,40,2024-05-07,2024-05-09,2024-05-22,Ads,Buy,In Progress,Villa,Chennai,4022461,16326085,No,No,
37,687,77,2022-01-31,2022-02-02,2022-02-15,Referral,Rent,Closed,Apartment,Mumbai,2700910,17033190,Yes,Yes,2022-03-02
38,554,22,2022-10-28,2022-10-30,2022-11-12,Referral,Buy,New,Villa,Ahmedabad,3268052,9892698,Yes,Yes,2022-11-27
39,664,93,2022-12-02,2022-12-04,2022-12-17,Walk-in,Buy,In Progress,Apartment,Hyderabad,3321836,17764670,Yes,Yes,2023-01-01
40,752,96,2022-02-11,2022-02-13,2022-02-26,Referral,Rent,In Progress,Plot,Mumbai,4159307,8559494,No,No,
41,607,45,2021-06-30,2021-07-02,2021-07-15,Referral,Buy,New,Apartment,Hyderabad,3567201,8133332,No,No,
42,78,11,2025-09-16,2025-09-18,2025-10-01,Referral,Rent,In Progress,Plot,Bangalore,3353748,14823334,No,No,
43,573,23,2024-05-13,2024-05-15,2024-05-28,Website,Buy,New,Apartment,Bangalore,3091998,7463787,No,No,
44,565,21,2024-12-09,2024-12-11,2024-12-24,Referral,Rent,New,Villa,Bangalore,3229851,7607667,Yes,Yes,2025-01-08
45,924,92,2024-11-10,2024-11-12,2024-11-25,Referral,Rent,New,Plot,Bangalore,4565982,8419186,Yes,Yes,2024-12-10
46,562,74,2022-09-22,2022-09-24,2022-10-07,Ads,Rent,New,Villa,Ahmedabad,4635980,15334507,Yes,No,2022-10-22
47,160,94,2025-08-19,2025-08-21,2025-09-03,Walk-in,Buy,In Progress,Plot,Delhi,3740959,13385269,Yes,Yes,2025-09-18
48,621,69,2025-04-30,2025-05-02,2025-05-15,Ads,Buy,Closed,Villa,Hyderabad,2816752,6958645,Yes,Yes,2025-05-30
49,195,44,2024-05-26,2024-05-28,2024-06-10,Referral,Buy,New,Plot,Pune,2286991,17618547,No,No,
50,973,59,2021-04-10,2021-04-12,2021-04-25,Walk-in,Rent,Lost,Apartment,Hyderabad,2648859,15772029,No,No,
51,87,27,2023-05-14,2023-05-16,2023-05-29,Website,Rent,Closed,Villa,Bangalore,3166144,19540869,Yes,Yes,2023-06-13
52,554,87,2024-02-28,2024-03-01,2024-03-14,Referral,Rent,Closed,Apartment,Bangalore,3690515,10439456,Yes,Yes,2024-03-29
53,800,59,2022-09-26,2022-09-28,2022-10-11,Ads,Buy,Closed,Apartment,Ahmedabad,4044457,14109623,No,No,
54,306,24,2022-04-18,2022-04-20,2022-05-03,Website,Rent,Lost,Apartment,Pune,3430243,13943224,Yes,Yes,2022-05-18
55,251,70,2021-04-28,2021-04-30,2021-05-13,Walk-in,Buy,Lost,Villa,Hyderabad,4063361,17733572,No,No,
56,830,14,2023-03-29,2023-03-31,2023-04-13,Ads,Buy,Closed,Apartment,Hyderabad,4270200,13330042,Yes,No,2023-04-28
57,747,66,2023-09-22,2023-09-24,2023-10-07,Walk-in,Buy,In Progress,Apartment,Bangalore,3523952,6184077,Yes,No,2023-10-22
58,953,52,2025-04-12,2025-04-14,2025-04-27,Website,Rent,New,Villa,Hyderabad,2079777,19726037,Yes,Yes,2025-05-12
59,668,99,2022-06-26,2022-06-28,2022-07-11,Ads,Buy,New,Villa,Hyderabad,4717099,17935876,No,No,
60,95,99,2022-03-18,2022-03-20,2022-04-02,Referral,Rent,Closed,Villa,Delhi,3424934,11403811,Yes,Yes,2022-04-17
61,452,58,2024-11-22,2024-11-24,2024-12-07,Website,Rent,Lost,Plot,Chennai,3746982,11244789,Yes,No,2024-12-22
62,766,60,2022-10-21,2022-10-23,2022-11-05,Walk-in,Buy,Closed,Apartment,Chennai,2201476,11742197,No,No,
63,511,100,2024-08-11,2024-08-13,2024-08-26,Website,Rent,New,Apartment,Delhi,4889663,7217517,No,No,
64,361,59,2024-03-15,2024-03-17,2024-03-30,Website,Rent,Lost,Plot,Mumbai,4325486,7340711,No,No,
65,332,19,2022-06-23,2022-06-25,2022-07-08,Ads,Rent,In Progress,Apartment,Delhi,3175669,12639436,No,No,
66,711,5,2022-10-23,2022-10-25,2022-11-07,Website,Buy,Lost,Villa,Mumbai,2210696,9146437,No,No,
67,338,50,2022-10-11,2022-10-13,2022-10-26,Referral,Rent,Closed,Plot,Bangalore,2977745,6425099,Yes,No,2022-11-10
68,604,5,2024-12-26,2024-12-28,2025-01-10,Referral,Rent,Closed,Villa,Delhi,3830734,9836800,Yes,Yes,2025-01-25
69,227,52,2023-09-18,2023-09-20,2023-10-03,Website,Rent,In Progress,Apartment,Ahmedabad,3940097,7616147,No,No,
70,551,75,2025-07-03,2025-07-05,2025-07-18,Website,Buy,In Progress,Apartment,Delhi,2410085,10053767,No,No,
71,901,57,2024-03-18,2024-03-20,2024-04-02,Referral,Rent,Closed,Plot,Hyderabad,2974237,12862475,Yes,No,2024-04-17
72,176,78,2021-04-12,2021-04-14,2021-04-27,Referral,Buy,Closed,Apartment,Bangalore,4317299,11118664,No,No,
73,183,52,2021-07-29,2021-07-31,2021-08-13,Ads,Rent,Lost,Villa,Pune,4799657,16212653,Yes,No,2021-08-28
74,735,62,2024-06-10,2024-06-12,2024-06-25,Ads,Rent,Lost,Villa,Bangalore,4654729,9913648,Yes,No,2024-07-10
75,902,23,2023-03-11,2023-03-13,2023-03-26,Ads,Rent,Lost,Plot,Mumbai,4842750,15536459,No,No,
76,432,6,2024-05-09,2024-05-11,2024-05-24,Ads,Rent,New,Apartment,Delhi,4592083,11454608,Yes,No,2024-06-08
77,286,100,2023-11-28,2023-11-30,2023-12-13,Walk-in,Rent,Closed,Apartment,Ahmedabad,3752970,15812754,Yes,Yes,2023-12-28
78,78,8,2022-02-11,2022-02-13,2022-02-26,Walk-in,Buy,In Progress,Plot,Chennai,3340759,14589928,No,No,
79,787,87,2023-05-18,2023-05-20,2023-06-02,Walk-in,Buy,New,Villa,Chennai,3240546,11420301,Yes,No,2023-06-17
80,194,26,2021-03-21,2021-03-23,2021-04-05,Website,Buy,Closed,Villa,Ahmedabad,2948837,7899444,No,No,
81,467,75,2024-07-23,2024-07-25,2024-08-07,Ads,Rent,Closed,Apartment,Chennai,4384918,16220552,Yes,No,2024-08-22
82,581,97,2023-04-21,2023-04-23,2023-05-06,Ads,Rent,In Progress,Villa,Delhi,3656041,9767323,No,No,
83,966,29,2022-01-30,2022-02-01,2022-02-14,Website,Rent,In Progress,Villa,Pune,3619019,8429221,No,No,
84,893,50,2023-08-14,2023-08-16,2023-08-29,Website,Buy,Lost,Plot,Ahmedabad,4876095,9191466,No,No,
85,736,5,2023-09-05,2023-09-07,2023-09-20,Ads,Buy,New,Plot,Hyderabad,2276536,18934456,No,No,
86,5,66,2022-05-11,2022-05-13,2022-05-26,Walk-in,Buy,Closed,Villa,Chennai,2135272,6214067,Yes,No,2022-06-10
87,150,81,2024-09-19,2024-09-21,2024-10-04,Referral,Buy,New,Apartment,Bangalore,2603315,11419439,No,No,
88,938,52,2024-03-23,2024-03-25,2024-04-07,Walk-in,Rent,Lost,Plot,Ahmedabad,3985553,19811376,No,No,
89,844,59,2022-10-21,2022-10-23,2022-11-05,Ads,Buy,Lost,Plot,Mumbai,4476022,13144033,No,No,
90,746,84,2024-01-07,2024-01-09,2024-01-22,Referral,Buy,Lost,Villa,Delhi,4682585,16220022,No,No,
91,898,39,2021-07-08,2021-07-10,2021-07-23,Walk-in,Rent,Lost,Apartment,Chennai,2042596,15266517,Yes,No,2021-08-07
92,716,84,2025-11-03,2025-11-05,2025-11-18,Ads,Rent,In Progress,Plot,Pune,2373711,17470363,Yes,Yes,2025-12-03
93,963,2,2021-09-26,2021-09-28,2021-10-11,Ads,Buy,Closed,Plot,Bangalore,3408242,6902215,No,No,
94,103,42,2021-04-21,2021-04-23,2021-05-06,Website,Rent,New,Villa,Ahmedabad,4994929,13657602,No,No,
95,632,44,2021-03-21,2021-03-23,2021-04-05,Ads,Buy,New,Apartment,Ahmedabad,4104752,19377205,Yes,No,2021-04-20
96,251,17,2024-03-09,2024-03-11,2024-03-24,Referral,Buy,Lost,Apartment,Mumbai,3707634,17584480,Yes,No,2024-04-08
97,895,26,2023-01-24,2023-01-26,2023-02-08,Referral,Buy,New,Villa,Delhi,3001998,8989609,Yes,No,2023-02-23
98,91,24,2023-11-08,2023-11-10,2023-11-23,Ads,Buy,Lost,Apartment,Delhi,4764428,7389926,Yes,Yes,2023-12-08
99,64,100,2023-03-22,2023-03-24,2023-04-06,Ads,Buy,In Progress,Apartment,Delhi,2898171,7167297,No,No,
100,355,77,2024-09-14,2024-09-16,2024-09-29,Walk-in,Buy,New,Villa,Mumbai,2730879,7990904,Yes,No,2024-10-14
101,189,35,2021-07-11,2021-07-13,2021-07-26,Ads,Rent,Closed,Villa,Hyderabad,3349388,8842874,Yes,No,2021-08-10
102,941,35,2023-02-21,2023-02-23,2023-03-08,Website,Buy,Closed,Plot,Pune,2178751,6062266,Yes,No,2023-03-23
103,7,32,2023-01-04,2023-01-06,2023-01-19,Walk-in,Rent,New,Plot,Ahmedabad,4129903,7468081,Yes,No,2023-02-03
104,775,81,2023-03-25,2023-03-27,2023-04-09,Referral,Buy,In Progress,Apartment,Ahmedabad,3949740,15338922,Yes,No,2023-04-24
105,943,71,2023-02-02,2023-02-04,2023-02-17,Website,Rent,Closed,Plot,Bangalore,3543923,10299404,Yes,Yes,2023-03-04
106,800,16,2022-02-12,2022-02-14,2022-02-27,Walk-in,Buy,In Progress,Apartment,Mumbai,2703047,8544313,No,No,
107,433,28,2023-11-19,2023-11-21,2023-12-04,Ads,Rent,Lost,Apartment,Delhi,4695158,16574324,Yes,Yes,2023-12-19
108,67,84,2024-01-14,2024-01-16,2024-01-29,Ads,Rent,Closed,Villa,Bangalore,3554768,8742302,No,No,
109,174,99,2023-10-30,2023-11-01,2023-11-14,Website,Rent,Lost,Apartment,Delhi,4420830,18451531,No,No,
110,540,52,2022-11-04,2022-11-06,2022-11-19,Website,Buy,In Progress,Plot,Mumbai,2692357,8956433,Yes,Yes,2022-12-04
111,312,54,2025-09-12,2025-09-14,2025-09-27,Walk-in,Buy,In Progress,Villa,Bangalore,2596595,14267077,No,No,
112,629,18,2025-11-17,2025-11-19,2025-12-02,Walk-in,Buy,New,Villa,Hyderabad,2252877,8435688,Yes,No,2025-12-17
113,795,61,2024-11-07,2024-11-09,2024-11-22,Website,Buy,New,Plot,Delhi,2856137,10097562,Yes,No,2024-12-07
114,885,81,2024-10-16,2024-10-18,2024-10-31,Website,Rent,Lost,Villa,Hyderabad,2511538,10938947,No,No,
115,727,44,2025-02-02,2025-02-04,2025-02-17,Walk-in,Buy,New,Plot,Mumbai,3554142,18932962,Yes,No,2025-03-04
116,707,96,2023-05-13,2023-05-15,2023-05-28,Referral,Buy,Closed,Apartment,Chennai,2393998,15203436,Yes,No,2023-06-12
117,512,2,2025-06-20,2025-06-22,2025-07-05,Ads,Buy,In Progress,Plot,Delhi,3671957,18068066,No,No,
118,761,92,2024-03-18,2024-03-20,2024-04-02,Ads,Rent,In Progress,Plot,Delhi,3395314,8113432,No,No,
119,897,52,2023-11-23,2023-11-25,2023-12-08,Walk-in,Buy,Lost,Villa,Chennai,4573142,10348416,Yes,Yes,2023-12-23
120,663,25,2024-04-27,2024-04-29,2024-05-12,Referral,Rent,Closed,Apartment,Mumbai,3469661,10972760,Yes,No,2024-05-27
121,753,73,2023-05-22,2023-05-24,2023-06-06,Walk-in,Rent,Lost,Plot,Chennai,4942824,10920731,No,No,
122,44,98,2024-09-25,2024-09-27,2024-10-10,Walk-in,Rent,New,Apartment,Delhi,4210971,12968938,No,No,
123,864,59,2025-06-02,2025-06-04,2025-06-17,Website,Buy,Lost,Apartment,Pune,4821496,13988907,No,No,
124,858,14,2024-08-07,2024-08-09,2024-08-22,Walk-in,Buy,New,Plot,Mumbai,4669627,15368064,No,No,
125,264,22,2022-04-07,2022-04-09,2022-04-22,Website,Rent,Closed,Apartment,Mumbai,2029169,15816602,Yes,Yes,2022-05-07
126,533,27,2022-03-10,2022-03-12,2022-03-25,Ads,Rent,In Progress,Apartment,Pune,2373186,6883063,No,No,
127,652,2,2024-11-27,2024-11-29,2024-12-12,Referral,Rent,Closed,Plot,Hyderabad,4510590,7228401,Yes,No,2024-12-27
128,831,83,2024-05-09,2024-05-11,2024-05-24,Referral,Rent,In Progress,Plot,Hyderabad,4396817,18023358,No,No,
129,70,32,2024-01-06,2024-01-08,2024-01-21,Walk-in,Rent,In Progress,Apartment,Bangalore,4546161,7580938,No,No,
130,410,94,2022-01-03,2022-01-05,2022-01-18,Website,Rent,Closed,Villa,Delhi,3953953,14819960,Yes,No,2022-02-02
131,442,62,2025-06-09,2025-06-11,2025-06-24,Website,Rent,Closed,Apartment,Bangalore,2406780,19614139,Yes,No,2025-07-09
132,757,37,2025-12-19,2025-12-21,2026-01-03,Ads,Rent,In Progress,Villa,Delhi,3516490,7967711,No,No,
133,866,31,2025-01-08,2025-01-10,2025-01-23,Walk-in,Rent,Closed,Villa,Chennai,3746331,11085447,No,No,
134,915,14,2022-09-09,2022-09-11,2022-09-24,Ads,Rent,New,Apartment,Ahmedabad,4989812,13641556,No,No,
135,917,45,2023-12-06,2023-12-08,2023-12-21,Website,Buy,New,Apartment,Delhi,4828005,19786950,Yes,Yes,2024-01-05
136,266,4,2021-07-28,2021-07-30,2021-08-12,Ads,Buy,In Progress,Apartment,Hyderabad,3264378,10470926,Yes,No,2021-08-27
137,734,89,2022-04-24,2022-04-26,2022-05-09,Referral,Buy,New,Villa,Delhi,2355530,15579273,No,No,
138,249,82,2023-11-04,2023-11-06,2023-11-19,Walk-in,Buy,Closed,Plot,Hyderabad,4269984,14711891,Yes,No,2023-12-04
139,871,56,2024-09-03,2024-09-05,2024-09-18,Ads,Buy,Lost,Plot,Hyderabad,4075031,13028292,Yes,Yes,2024-10-03
140,298,42,2023-07-17,2023-07-19,2023-08-01,Website,Buy,Closed,Villa,Pune,2272964,7892195,Yes,Yes,2023-08-16
141,709,34,2025-03-01,2025-03-03,2025-03-16,Referral,Rent,Lost,Plot,Delhi,2238123,13163295,No,No,
142,429,99,2021-09-29,2021-10-01,2021-10-14,Website,Buy,Lost,Villa,Delhi,4597565,17926384,No,No,
143,793,53,2022-01-16,2022-01-18,2022-01-31,Website,Rent,New,Plot,Hyderabad,4784054,16884822,Yes,No,2022-02-15
144,624,77,2023-05-29,2023-05-31,2023-06-13,Referral,Buy,Closed,Apartment,Hyderabad,4549020,18249225,Yes,Yes,2023-06-28
145,841,98,2025-01-16,2025-01-18,2025-01-31,Ads,Buy,In Progress,Villa,Pune,3649399,6724479,No,No,
146,92,8,2023-02-12,2023-02-14,2023-02-27,Walk-in,Rent,New,Apartment,Delhi,3643533,17976491,No,No,
147,865,78,2022-03-29,2022-03-31,2022-04-13,Walk-in,Buy,In Progress,Villa,Hyderabad,3184447,9202527,Yes,No,2022-04-28
148,521,64,2023-07-29,2023-07-31,2023-08-13,Website,Rent,Lost,Plot,Mumbai,3807985,6441123,No,No,
149,673,25,2022-04-02,2022-04-04,2022-04-17,Website,Buy,In Progress,Plot,Hyderabad,3185691,19050279,No,No,
150,338,89,2022-06-29,2022-07-01,2022-07-14,Referral,Rent,New,Plot,Hyderabad,2333347,10876595,Yes,Yes,2022-07-29
151,264,73,2024-03-04,2024-03-06,2024-03-19,Walk-in,Rent,Lost,Villa,Mumbai,4225876,19533843,Yes,No,2024-04-03
152,183,27,2021-12-14,2021-12-16,2021-12-29,Website,Rent,Closed,Apartment,Pune,3230678,9095946,Yes,No,2022-01-13
153,706,81,2024-03-11,2024-03-13,2024-03-26,Referral,Rent,New,Apartment,Bangalore,3530745,12734432,No,No,
154,90,32,2022-01-23,2022-01-25,2022-02-07,Ads,Buy,In Progress,Villa,Delhi,3063732,7206364,No,No,
155,386,11,2021-12-24,2021-12-26,2022-01-08,Walk-in,Buy,Closed,Apartment,Bangalore,2169122,6007556,No,No,
156,344,84,2024-02-18,2024-02-20,2024-03-04,Referral,Rent,New,Villa,Bangalore,3028918,18494381,Yes,Yes,2024-03-19
157,421,33,2025-10-11,2025-10-13,2025-10-26,Website,Rent,Lost,Villa,Ahmedabad,2803035,15790469,Yes,Yes,2025-11-10
158,774,58,2022-02-16,2022-02-18,2022-03-03,Ads,Rent,In Progress,Villa,Bangalore,4337325,18636854,Yes,Yes,2022-03-18
159,625,89,2022-11-07,2022-11-09,2022-11-22,Website,Buy,In Progress,Apartment,Bangalore,4124510,16961031,Yes,Yes,2022-12-07
160,348,53,2025-08-29,2025-08-31,2025-09-13,Ads,Rent,In Progress,Villa,Ahmedabad,4077792,9840558,Yes,Yes,2025-09-28
161,301,31,2022-06-05,2022-06-07,2022-06-20,Website,Rent,Lost,Villa,Chennai,3547441,16403866,No,No,
162,134,58,2022-05-06,2022-05-08,2022-05-21,Website,Rent,Closed,Apartment,Bangalore,3491504,10385639,Yes,Yes,2022-06-05
163,88,64,2023-05-09,2023-05-11,2023-05-24,Referral,Rent,New,Apartment,Mumbai,3127060,8688653,No,No,
164,921,91,2025-12-13,2025-12-15,2025-12-28,Ads,Buy,In Progress,Plot,Bangalore,4698972,19416395,No,No,
165,685,74,2021-04-23,2021-04-25,2021-05-08,Ads,Rent,New,Plot,Ahmedabad,4981018,16707557,Yes,No,2021-05-23
166,97,77,2022-02-05,2022-02-07,2022-02-20,Walk-in,Buy,New,Villa,Hyderabad,4811213,16167391,No,No,
167,439,78,2025-05-08,2025-05-10,2025-05-23,Ads,Buy,New,Plot,Chennai,3053791,8587063,Yes,Yes,2025-06-07
168,990,41,2022-04-22,2022-04-24,2022-05-07,Walk-in,Rent,In Progress,Apartment,Bangalore,2894144,15451016,No,No,
169,713,11,2021-03-08,2021-03-10,2021-03-23,Website,Buy,Lost,Villa,Chennai,4487669,11305345,No,No,
170,861,31,2023-07-03,2023-07-05,2023-07-18,Ads,Buy,Closed,Plot,Bangalore,4416824,10109522,Yes,No,2023-08-02
171,198,73,2021-07-22,2021-07-24,2021-08-06,Referral,Buy,New,Plot,Bangalore,3033195,11350639,Yes,No,2021-08-21
172,479,94,2023-12-20,2023-12-22,2024-01-04,Website,Rent,Closed,Villa,Delhi,4907294,18575380,Yes,Yes,2024-01-19
173,500,99,2023-10-27,2023-10-29,2023-11-11,Referral,Buy,In Progress,Villa,Mumbai,3606837,10021239,No,No,
174,882,68,2022-02-08,2022-02-10,2022-02-23,Website,Rent,New,Villa,Chennai,2512826,11297651,Yes,No,2022-03-10
175,400,44,2022-11-03,2022-11-05,2022-11-18,Ads,Rent,In Progress,Villa,Hyderabad,2620602,9923186,Yes,No,2022-12-03
176,718,76,2021-01-13,2021-01-15,2021-01-28,Walk-in,Rent,In Progress,Villa,Pune,3238124,11923895,Yes,No,2021-02-12
177,207,18,2021-05-24,2021-05-26,2021-06-08,Walk-in,Buy,In Progress,Plot,Pune,2028704,10039901,No,No,
178,417,80,2021-11-09,2021-11-11,2021-11-24,Website,Rent,Lost,Villa,Hyderabad,2162349,14389984,Yes,Yes,2021-12-09
179,969,98,2023-05-22,2023-05-24,2023-06-06,Website,Buy,Closed,Plot,Mumbai,2404876,12715085,No,No,
180,85,99,2022-02-07,2022-02-09,2022-02-22,Website,Buy,Lost,Plot,Hyderabad,3502975,7653622,Yes,No,2022-03-09
181,441,31,2023-04-20,2023-04-22,2023-05-05,Ads,Buy,Lost,Villa,Delhi,3127910,11693439,Yes,No,2023-05-20
182,586,15,2023-06-26,2023-06-28,2023-07-11,Walk-in,Rent,Closed,Villa,Hyderabad,3051429,19852177,No,No,
183,189,28,2021-08-02,2021-08-04,2021-08-17,Referral,Buy,Lost,Villa,Hyderabad,2598540,7375867,Yes,Yes,2021-09-01
184,508,28,2024-11-04,2024-11-06,2024-11-19,Website,Buy,Closed,Villa,Bangalore,2276007,19345949,No,No,
185,570,53,2022-10-20,2022-10-22,2022-11-04,Referral,Rent,Lost,Villa,Hyderabad,2850704,9021577,Yes,Yes,2022-11-19
186,410,37,2023-11-21,2023-11-23,2023-12-06,Website,Rent,In Progress,Apartment,Delhi,3417066,14463668,No,No,
187,950,51,2022-05-18,2022-05-20,2022-06-02,Ads,Buy,Lost,Plot,Ahmedabad,3018398,13840964,Yes,No,2022-06-17
188,664,2,2022-09-12,2022-09-14,2022-09-27,Website,Buy,New,Apartment,Chennai,2623012,14331911,Yes,No,2022-10-12
189,999,44,2021-06-30,2021-07-02,2021-07-15,Website,Rent,New,Apartment,Chennai,4107455,12705649,No,No,
190,755,85,2024-12-25,2024-12-27,2025-01-09,Referral,Buy,New,Apartment,Pune,4368645,10777605,Yes,Yes,2025-01-24
191,373,95,2021-07-09,2021-07-11,2021-07-24,Ads,Buy,Lost,Plot,Hyderabad,4422317,7843624,No,No,
192,975,6,2024-11-28,2024-11-30,2024-12-13,Referral,Buy,New,Plot,Pune,3601854,15142247,No,No,
193,709,59,2021-08-27,2021-08-29,2021-09-11,Referral,Rent,Closed,Villa,Chennai,2470395,18555076,No,No,
194,775,18,2023-05-02,2023-05-04,2023-05-17,Ads,Rent,Lost,Apartment,Mumbai,4313840,10446547,Yes,Yes,2023-06-01
195,181,21,2023-05-22,2023-05-24,2023-06-06,Referral,Rent,Closed,Apartment,Mumbai,4500563,11800894,No,No,
196,247,88,2024-09-01,2024-09-03,2024-09-16,Referral,Rent,New,Apartment,Hyderabad,3364378,11260821,Yes,Yes,2024-10-01
197,862,86,2025-08-01,2025-08-03,2025-08-16,Ads,Rent,Lost,Plot,Ahmedabad,2724759,17489345,No,No,
198,747,59,2022-08-27,2022-08-29,2022-09-11,Ads,Buy,New,Villa,Mumbai,4325935,18315219,No,No,
199,466,90,2025-01-26,2025-01-28,2025-02-10,Referral,Buy,Closed,Plot,Delhi,4164850,16269666,No,No,
200,27,56,2022-02-09,2022-02-11,2022-02-24,Ads,Rent,In Progress,Villa,Pune,2317941,13938239,No,No,
201,821,17,2024-06-04,2024-06-06,2024-06-19,Website,Buy,Lost,Apartment,Pune,2783236,13562591,No,No,
202,761,40,2022-08-27,2022-08-29,2022-09-11,Website,Rent,Lost,Villa,Mumbai,3634013,10518647,Yes,Yes,2022-09-26
203,582,17,2024-08-12,2024-08-14,2024-08-27,Walk-in,Buy,Lost,Apartment,Ahmedabad,3580094,14141157,Yes,No,2024-09-11
204,339,46,2024-01-15,2024-01-17,2024-01-30,Ads,Rent,New,Villa,Ahmedabad,2951289,14550609,Yes,Yes,2024-02-14
205,497,10,2021-08-25,2021-08-27,2021-09-09,Walk-in,Buy,New,Villa,Hyderabad,4286947,14811448,Yes,No,2021-09-24
206,950,38,2022-02-24,2022-02-26,2022-03-11,Ads,Buy,Closed,Apartment,Bangalore,3178706,13414119,No,No,
