ExpenseID,PropertyID,SalesID,ExpenseDate,Year,Month,ExpenseCategory,ExpenseType,ExpenseDescription,ExpenseAmount,TaxAmount,TotalExpenseAmount,PaidBy,AllocatedTo,PaymentMode,ExpenseStatus
21,2674,1561,2022-05-15,2022,5,Maintenance,Fixed,Operational Expense,9615,1730,11345,Agent,Sale,Cheque,Pending
22,2887,1746,2025-09-21,2025,9,Maintenance,Fixed,Operational Expense,170454,30681,201135,Company,Property,Cheque,Pending
23,2247,1505,2025-03-31,2025,3,Marketing,Variable,Operational Expense,8044,1447,9491,Company,Property,Cheque,Pending
24,203,795,2022-10-01,2022,10,Legal,Variable,Operational Expense,19321,3477,22798,Agent,Property,Cash,Pending
25,1288,767,2022-06-30,2022,6,Admin,Fixed,Operational Expense,196865,35435,232300,Agent,Property,Online,Approved
26,373,380,2024-01-03,2024,1,Brokerage,Variable,Operational Expense,179046,32228,211274,Owner,Sale,Cash,Approved
27,1181,176,2024-10-24,2024,10,Legal,Variable,Operational Expense,104423,18796,123219,Owner,Property,Online,Pending
28,2366,275,2022-08-12,2022,8,Marketing,Fixed,Operational Expense,176030,31685,207715,Company,Property,Online,Approved
29,2271,1239,2025-01-09,2025,1,Maintenance,Fixed,Operational Expense,153339,27601,180940,Agent,Sale,Online,Approved
30,847,1310,2022-05-01,2022,5,Maintenance,Variable,Operational Expense,23186,4173,27359,Company,Property,Cash,Approved
31,904,1035,2022-09-21,2022,9,Legal,Variable,Operational Expense,7018,1263,8281,Company,Sale,Cash,Pending
32,1500,1384,2024-01-23,2024,1,Maintenance,Fixed,Operational Expense,34855,6273,41128,Agent,Sale,Online,Pending
33,3635,2271,2022-08-01,2022,8,Maintenance,Fixed,Operational Expense,106754,19215,125969,Company,Sale,Cheque,Approved
34,4166,1852,2023-01-11,2023,1,Marketing,Fixed,Operational Expense,52361,9424,61785,Owner,Sale,Cheque,Approved
35,2715,442,2022-01-02,2022,1,Maintenance,Variable,Operational Expense,163235,29382,192617,Agent,Sale,Online,Approved
36,1336,919,2024-10-15,2024,10,Brokerage,Fixed,Operational Expense,71390,12850,84240,Agent,Sale,Cheque,Pending
37,519,1274,2023-09-09,2023,9,Admin,Variable,Operational Expense,165271,29748,195019,Owner,Sale,Cheque,Pending
38,2986,955,2023-08-29,2023,8,Maintenance,Variable,Operational Expense,54406,9793,64199,Owner,Property,Cheque,Approved
39,2460,1782,2023-04-15,2023,4,Brokerage,Variable,Operational Expense,162305,29214,191519,Owner,Property,Online,Pending
40,1247,674,2022-09-14,2022,9,Legal,Fixed,Operational Expense,160031,28805,188836,Company,Property,Cash,Pending
41,1037,1487,2022-11-10,2022,11,Brokerage,Variable,Operational Expense,21247,3824,25071,Company,Property,Online,Approved
42,351,2412,2025-09-03,2025,9,Marketing,Variable,Operational Expense,134383,24188,158571,Company,Sale,Cheque,Approved
43,3489,40,2022-01-27,2022,1,Maintenance,Fixed,Operational Expense,33378,6008,39386,Agent,Sale,Online,Pending
44,3273,926,2024-08-26,2024,8,Brokerage,Variable,Operational Expense,99959,17992,117951,Agent,Property,Cheque,Pending
45,984,493,2024-07-12,2024,7,Brokerage,Fixed,Operational Expense,30245,5444,35689,Agent,Property,Cheque,Pending
46,952,1879,2022-12-08,2022,12,Legal,Variable,Operational Expense,78994,14218,93212,Company,Property,Cash,Pending
47,462,53,2023-12-15,2023,12,Legal,Fixed,Operational Expense,120075,21613,141688,Agent,Property,Cheque,Pending
48,3280,296,2023-03-21,2023,3,Legal,Variable,Operational Expense,185998,33479,219477,Owner,Property,Cash,Approved
49,3549,1977,2024-10-20,2024,10,Admin,Fixed,Operational Expense,131878,23738,155616,Owner,Property,Cash,Approved
50,1669,1619,2022-02-18,2022,2,Maintenance,Fixed,Operational Expense,172004,30960,202964,Owner,Property,Cheque,Pending
51,4618,758,2024-04-05,2024,4,Legal,Fixed,Operational Expense,166416,29954,196370,Agent,Property,Online,Pending
52,2447,1421,2024-06-17,2024,6,Brokerage,Variable,Operational Expense,54975,9895,64870,Owner,Sale,Cheque,Approved
53,1693,1838,2024-11-21,2024,11,Maintenance,Fixed,Operational Expense,148788,26781,175569,Company,Property,Cash,Pending
54,1700,1383,2021-09-17,2021,9,Brokerage,Variable,Operational Expense,73519,13233,86752,Owner,Property,Cheque,Approved
55,45,1927,2024-05-04,2024,5,Admin,Fixed,Operational Expense,89951,16191,106142,Company,Property,Cheque,Pending
56,1191,1054,2021-08-10,2021,8,Marketing,Variable,Operational Expense,175056,31510,206566,Agent,Property,Cheque,Approved
57,3523,1851,2023-04-04,2023,4,Brokerage,Fixed,Operational Expense,78998,14219,93217,Agent,Property,Cheque,Pending
58,3531,2017,2023-03-13,2023,3,Marketing,Fixed,Operational Expense,118059,21250,139309,Company,Sale,Online,Approved
59,773,38,2022-05-11,2022,5,Brokerage,Fixed,Operational Expense,121216,21818,143034,Company,Sale,Cash,Pending
60,2947,401,2025-07-18,2025,7,Admin,Fixed,Operational Expense,8544,1537,10081,Company,Sale,Cheque,Pending
61,3335,2345,2021-09-18,2021,9,Marketing,Fixed,Operational Expense,91784,16521,108305,Owner,Sale,Online,Pending
62,3033,722,2024-04-25,2024,4,Legal,Fixed,Operational Expense,135234,24342,159576,Agent,Sale,Cash,Approved
63,3788,2382,2022-09-05,2022,9,Marketing,Variable,Operational Expense,126546,22778,149324,Agent,Property,Online,Approved
64,4460,1821,2023-09-04,2023,9,Brokerage,Fixed,Operational Expense,168019,30243,198262,Agent,Property,Cash,Pending
65,4487,360,2022-03-24,2022,3,Marketing,Variable,Operational Expense,90173,16231,106404,Owner,Property,Online,Pending
66,329,1211,2025-06-09,2025,6,Admin,Fixed,Operational Expense,100835,18150,118985,Agent,Property,Cash,Approved
67,4307,511,2023-12-23,2023,12,Legal,Fixed,Operational Expense,146051,26289,172340,Agent,Property,Online,Approved
68,2612,608,2023-06-05,2023,6,Admin,Fixed,Operational Expense,17666,3179,20845,Agent,Property,Cash,Pending
69,2091,1501,2024-12-19,2024,12,Admin,Variable,Operational Expense,154607,27829,182436,Agent,Property,Cheque,Approved
70,999,152,2022-01-05,2022,1,Marketing,Fixed,Operational Expense,74549,13418,87967,Company,Sale,Cheque,Pending
71,2375,2436,2023-03-02,2023,3,Maintenance,Variable,Operational Expense,173002,31140,204142,Owner,Property,Online,Pending
72,2183,957,2024-06-05,2024,6,Admin,Fixed,Operational Expense,7664,1379,9043,Company,Property,Online,Approved
73,2050,1262,2024-09-26,2024,9,Brokerage,Fixed,Operational Expense,32341,5821,38162,Agent,Sale,Cheque,Pending
74,3525,2368,2021-06-30,2021,6,Maintenance,Variable,Operational Expense,112789,20302,133091,Agent,Property,Cash,Pending
75,1821,879,2022-03-17,2022,3,Admin,Variable,Operational Expense,72092,12976,85068,Agent,Property,Online,Approved
76,1061,2262,2022-01-04,2022,1,Admin,Fixed,Operational Expense,118170,21270,139440,Company,Sale,Cash,Pending
77,2822,348,2025-08-31,2025,8,Brokerage,Fixed,Operational Expense,135266,24347,159613,Owner,Sale,Online,Pending
78,1380,138,2024-10-07,2024,10,Admin,Variable,Operational Expense,135378,24368,159746,Owner,Property,Cash,Approved
79,793,1085,2022-02-05,2022,2,Maintenance,Variable,Operational Expense,92771,16698,109469,Agent,Property,Online,Approved
80,3726,1487,2024-06-21,2024,6,Legal,Variable,Operational Expense,67833,12209,80042,Company,Property,Cheque,Pending
81,4184,1210,2021-11-27,2021,11,Legal,Variable,Operational Expense,137135,24684,161819,Company,Sale,Cheque,Pending
82,4599,1725,2023-08-07,2023,8,Brokerage,Fixed,Operational Expense,129043,23227,152270,Owner,Sale,Cash,Approved
83,3798,315,2021-09-28,2021,9,Admin,Fixed,Operational Expense,76178,13712,89890,Company,Sale,Cash,Approved
84,4038,1323,2024-07-03,2024,7,Legal,Variable,Operational Expense,43618,7851,51469,Company,Property,Cheque,Pending
85,1296,1422,2025-01-29,2025,1,Brokerage,Variable,Operational Expense,155367,27966,183333,Company,Sale,Cash,Pending
86,2785,958,2021-09-25,2021,9,Admin,Fixed,Operational Expense,190277,34249,224526,Owner,Property,Cash,Pending
87,2772,628,2023-07-26,2023,7,Marketing,Variable,Operational Expense,198830,35789,234619,Agent,Property,Cash,Pending
88,4192,702,2025-12-22,2025,12,Legal,Fixed,Operational Expense,38903,7002,45905,Company,Sale,Cash,Pending
89,2232,312,2022-11-23,2022,11,Marketing,Variable,Operational Expense,93663,16859,110522,Company,Property,Cheque,Pending
90,307,849,2022-08-10,2022,8,Brokerage,Variable,Operational Expense,148480,26726,175206,Company,Sale,Cash,Pending
91,3832,2389,2022-10-05,2022,10,Admin,Fixed,Operational Expense,17366,3125,20491,Company,Sale,Cheque,Pending
92,3422,1224,2021-06-29,2021,6,Maintenance,Variable,Operational Expense,70598,12707,83305,Agent,Property,Cash,Approved
93,4499,2167,2022-01-09,2022,1,Marketing,Fixed,Operational Expense,13368,2406,15774,Owner,Property,Cash,Pending
94,4034,2110,2021-05-24,2021,5,Brokerage,Variable,Operational Expense,8626,1552,10178,Company,Property,Online,Approved
95,3005,26,2022-04-25,2022,4,Maintenance,Variable,Operational Expense,88550,15939,104489,Agent,Sale,Online,Approved
96,4855,367,2021-10-14,2021,10,Brokerage,Fixed,Operational Expense,38667,6960,45627,Agent,Property,Online,Pending
97,854,1762,2024-02-18,2024,2,Maintenance,Variable,Operational Expense,150695,27125,177820,Agent,Property,Cheque,Approved
98,2780,1837,2025-10-24,2025,10,Maintenance,Fixed,Operational Expense,41535,7476,49011,Company,Property,Cheque,Approved
99,3522,1517,2024-05-25,2024,5,Maintenance,Variable,Operational Expense,131697,23705,155402,Company,Property,Cash,Pending
100,815,1929,2024-08-10,2024,8,Admin,Fixed,Operational Expense,63350,11403,74753,Agent,Property,Online,Approved
101,604,1486,2021-12-10,2021,12,Legal,Variable,Operational Expense,44369,7986,52355,Owner,Property,Online,Pending
102,3528,1227,2024-03-08,2024,3,Brokerage,Fixed,Operational Expense,115392,20770,136162,Owner,Sale,Cash,Pending
103,147,2095,2025-06-10,2025,6,Marketing,Variable,Operational Expense,134841,24271,159112,Agent,Property,Cash,Approved
104,4492,1160,2025-11-22,2025,11,Legal,Fixed,Operational Expense,175002,31500,206502,Agent,Property,Online,Pending
105,4513,391,2022-11-13,2022,11,Admin,Fixed,Operational Expense,29639,5335,34974,Owner,Sale,Online,Pending
106,750,70,2022-06-03,2022,6,Maintenance,Variable,Operational Expense,193939,34909,228848,Owner,Sale,Online,Pending
107,174,1707,2024-02-16,2024,2,Marketing,Variable,Operational Expense,191900,34542,226442,Company,Property,Cash,Pending
108,800,72,2024-10-06,2024,10,Admin,Fixed,Operational Expense,156251,28125,184376,Owner,Property,Cash,Pending
109,4085,253,2021-04-07,2021,4,Legal,Fixed,Operational Expense,84182,15152,99334,Company,Sale,Online,Approved
110,4754,1976,2024-10-13,2024,10,Marketing,Variable,Operational Expense,66388,11949,78337,Agent,Sale,Online,Approved
111,1926,833,2023-04-17,2023,4,Admin,Fixed,Operational Expense,109389,19690,129079,Owner,Sale,Cash,Pending
112,35,672,2025-11-03,2025,11,Marketing,Variable,Operational Expense,186175,33511,219686,Company,Property,Online,Pending
113,4997,605,2021-04-18,2021,4,Admin,Variable,Operational Expense,55946,10070,66016,Agent,Property,Cash,Approved
114,964,2266,2025-09-11,2025,9,Maintenance,Variable,Operational Expense,122728,22091,144819,Owner,Sale,Online,Pending
115,4773,456,2025-12-26,2025,12,Marketing,Variable,Operational Expense,98974,17815,116789,Agent,Property,Cheque,Approved
116,1446,2278,2023-06-04,2023,6,Admin,Fixed,Operational Expense,168533,30335,198868,Company,Sale,Cash,Pending
117,4577,105,2024-07-10,2024,7,Admin,Variable,Operational Expense,176235,31722,207957,Owner,Sale,Online,Approved
118,1451,2297,2025-03-04,2025,3,Legal,Fixed,Operational Expense,193037,34746,227783,Owner,Property,Cheque,Approved
119,1884,775,2024-10-02,2024,10,Maintenance,Variable,Operational Expense,158274,28489,186763,Company,Sale,Cash,Pending
120,3406,2309,2021-05-14,2021,5,Admin,Fixed,Operational Expense,28130,5063,33193,Owner,Sale,Cheque,Pending
121,2715,1948,2025-08-22,2025,8,Maintenance,Variable,Operational Expense,15695,2825,18520,Agent,Sale,Online,Pending
122,4072,1898,2025-01-25,2025,1,Legal,Fixed,Operational Expense,106148,19106,125254,Company,Property,Cash,Approved
123,2470,2364,2024-02-20,2024,2,Brokerage,Variable,Operational Expense,195414,35174,230588,Company,Property,Online,Approved
124,4355,1834,2021-11-24,2021,11,Marketing,Variable,Operational Expense,23595,4247,27842,Owner,Property,Cheque,Approved
125,2972,1677,2022-08-30,2022,8,Admin,Variable,Operational Expense,139958,25192,165150,Agent,Sale,Online,Approved
126,3458,362,2024-07-08,2024,7,Marketing,Fixed,Operational Expense,24736,4452,29188,Company,Sale,Online,Approved
127,2776,2261,2023-10-05,2023,10,Admin,Variable,Operational Expense,41359,7444,48803,Company,Property,Cash,Approved
128,3357,1648,2022-12-05,2022,12,Brokerage,Fixed,Operational Expense,89429,16097,105526,Company,Property,Online,Approved
129,798,51,2023-08-12,2023,8,Marketing,Variable,Operational Expense,123510,22231,145741,Company,Property,Cheque,Pending
130,4808,2112,2023-06-03,2023,6,Maintenance,Fixed,Operational Expense,59192,10654,69846,Owner,Sale,Cash,Approved
131,4838,2114,2024-08-20,2024,8,Maintenance,Fixed,Operational Expense,129800,23364,153164,Owner,Property,Cheque,Pending
132,3899,2374,2022-11-03,2022,11,Brokerage,Variable,Operational Expense,44208,7957,52165,Company,Property,Online,Pending
133,1055,786,2022-07-16,2022,7,Admin,Fixed,Operational Expense,176960,31852,208812,Owner,Sale,Cash,Pending
134,3640,265,2024-01-19,2024,1,Admin,Variable,Operational Expense,151104,27198,178302,Company,Sale,Cheque,Pending
135,2751,1729,2021-03-18,2021,3,Maintenance,Variable,Operational Expense,115291,20752,136043,Agent,Sale,Cash,Approved
136,3301,1449,2021-03-19,2021,3,Legal,Fixed,Operational Expense,67299,12113,79412,Agent,Sale,Cash,Pending
137,4114,2426,2021-12-26,2021,12,Maintenance,Fixed,Operational Expense,16687,3003,19690,Agent,Sale,Cash,Pending
138,3780,256,2021-05-18,2021,5,Brokerage,Fixed,Operational Expense,34609,6229,40838,Owner,Sale,Cash,Approved
139,2565,1994,2024-04-17,2024,4,Maintenance,Variable,Operational Expense,21303,3834,25137,Company,Sale,Cheque,Pending
140,4295,1557,2023-07-14,2023,7,Legal,Fixed,Operational Expense,116235,20922,137157,Agent,Property,Cash,Pending
141,811,932,2024-05-30,2024,5,Maintenance,Variable,Operational Expense,137654,24777,162431,Company,Sale,Cheque,Approved
142,4694,840,2022-03-27,2022,3,Brokerage,Fixed,Operational Expense,178298,32093,210391,Owner,Sale,Cheque,Approved
143,1506,1649,2025-12-22,2025,12,Brokerage,Variable,Operational Expense,13515,2432,15947,Agent,Sale,Cash,Approved
144,1962,986,2023-06-24,2023,6,Marketing,Variable,Operational Expense,76221,13719,89940,Company,Property,Online,Approved
145,3389,2214,2025-09-24,2025,9,Marketing,Variable,Operational Expense,62863,11315,74178,Agent,Property,Cash,Pending
146,1592,241,2023-01-11,2023,1,Marketing,Variable,Operational Expense,91544,16477,108021,Company,Property,Online,Pending
147,3983,111,2023-09-18,2023,9,Marketing,Fixed,Operational Expense,13362,2405,15767,Company,Property,Online,Pending
148,1400,2207,2025-06-26,2025,6,Admin,Variable,Operational Expense,148703,26766,175469,Owner,Property,Cash,Approved
149,3834,2184,2021-04-06,2021,4,Marketing,Fixed,Operational Expense,107079,19274,126353,Agent,Sale,Cheque,Approved
150,1952,719,2021-08-27,2021,8,Marketing,Variable,Operational Expense,75203,13536,88739,Agent,Sale,Online,Pending
151,508,101,2023-08-01,2023,8,Legal,Variable,Operational Expense,49361,8884,58245,Company,Property,Cheque,Pending
152,1259,1559,2024-11-08,2024,11,Brokerage,Variable,Operational Expense,6688,1203,7891,Owner,Sale,Cash,Approved
153,4363,832,2021-05-07,2021,5,Brokerage,Variable,Operational Expense,48866,8795,57661,Company,Property,Online,Pending
154,829,1865,2024-05-31,2024,5,Maintenance,Variable,Operational Expense,79718,14349,94067,Owner,Sale,Online,Approved
155,2309,1576,2023-10-24,2023,10,Brokerage,Fixed,Operational Expense,136164,24509,160673,Agent,Sale,Online,Pending
156,4139,1855,2022-05-22,2022,5,Maintenance,Variable,Operational Expense,79422,14295,93717,Company,Sale,Cash,Pending
157,3803,2442,2022-04-23,2022,4,Legal,Fixed,Operational Expense,81920,14745,96665,Owner,Property,Cash,Pending
158,1115,2122,2021-02-25,2021,2,Marketing,Fixed,Operational Expense,142851,25713,168564,Company,Property,Cash,Approved
159,1780,123,2025-09-29,2025,9,Marketing,Variable,Operational Expense,162014,29162,191176,Agent,Sale,Online,Approved
160,1619,1836,2023-09-14,2023,9,Marketing,Fixed,Operational Expense,82935,14928,97863,Company,Property,Cash,Approved
161,4305,2053,2022-07-27,2022,7,Admin,Variable,Operational Expense,148392,26710,175102,Agent,Property,Cash,Pending
162,3657,737,2024-08-19,2024,8,Admin,Fixed,Operational Expense,171206,30817,202023,Owner,Sale,Online,Pending
163,136,2356,2025-01-05,2025,1,Legal,Variable,Operational Expense,177360,31924,209284,Owner,Sale,Cash,Pending
164,2502,2484,2022-12-20,2022,12,Brokerage,Variable,Operational Expense,171248,30824,202072,Agent,Property,Cash,Pending
165,3207,218,2021-11-07,2021,11,Marketing,Fixed,Operational Expense,32982,5936,38918,Company,Sale,Cash,Pending
166,4666,2070,2021-03-20,2021,3,Admin,Fixed,Operational Expense,57896,10421,68317,Owner,Sale,Cash,Approved
167,3612,955,2021-01-27,2021,1,Maintenance,Variable,Operational Expense,165363,29765,195128,Owner,Property,Cheque,Approved
168,4288,2196,2022-11-19,2022,11,Admin,Fixed,Operational Expense,198679,35762,234441,Company,Property,Online,Approved
169,671,2121,2023-02-04,2023,2,Marketing,Fixed,Operational Expense,175784,31641,207425,Owner,Property,Cheque,Approved
170,3198,2146,2024-10-01,2024,10,Legal,Fixed,Operational Expense,159700,28746,188446,Company,Property,Cash,Approved
171,4812,399,2025-01-16,2025,1,Maintenance,Variable,Operational Expense,151645,27296,178941,Owner,Property,Cheque,Approved
172,583,547,2023-10-11,2023,10,Legal,Variable,Operational Expense,89077,16033,105110,Company,Sale,Online,Approved
173,4835,12,2025-08-02,2025,8,Brokerage,Fixed,Operational Expense,171616,30890,202506,Owner,Sale,Online,Approved
174,2449,2228,2021-04-11,2021,4,Maintenance,Variable,Operational Expense,62810,11305,74115,Owner,Sale,Cheque,Pending
175,4770,483,2024-09-16,2024,9,Admin,Fixed,Operational Expense,168297,30293,198590,Company,Property,Cheque,Approved
176,3962,1196,2024-08-31,2024,8,Admin,Variable,Operational Expense,155716,28028,183744,Company,Property,Cash,Pending
177,1601,510,2021-05-25,2021,5,Marketing,Variable,Operational Expense,151498,27269,178767,Company,Sale,Cheque,Pending
178,3511,546,2025-12-10,2025,12,Brokerage,Fixed,Operational Expense,71057,12790,83847,Owner,Property,Cheque,Pending
179,3510,943,2024-05-31,2024,5,Admin,Fixed,Operational Expense,144816,26066,170882,Agent,Property,Cheque,Approved
180,2218,2371,2021-09-05,2021,9,Brokerage,Fixed,Operational Expense,27766,4997,32763,Company,Property,Cash,Pending
181,3181,380,2025-04-26,2025,4,Legal,Variable,Operational Expense,175065,31511,206576,Owner,Property,Cash,Pending
182,2006,183,2023-12-09,2023,12,Admin,Fixed,Operational Expense,91123,16402,107525,Company,Sale,Cash,Approved
183,208,2370,2021-04-04,2021,4,Admin,Variable,Operational Expense,8647,1556,10203,Company,Property,Online,Pending
184,932,2021,2022-05-29,2022,5,Admin,Variable,Operational Expense,66699,12005,78704,Owner,Property,Online,Pending
185,4755,2080,2021-08-01,2021,8,Admin,Variable,Operational Expense,192982,34736,227718,Company,Property,Online,Pending
186,2084,779,2021-03-28,2021,3,Marketing,Fixed,Operational Expense,198735,35772,234507,Company,Sale,Cheque,Approved
187,68,2197,2021-08-26,2021,8,Legal,Fixed,Operational Expense,33657,6058,39715,Company,Property,Online,Approved
188,2279,1069,2021-06-20,2021,6,Admin,Variable,Operational Expense,15208,2737,17945,Company,Sale,Cheque,Pending
189,4883,343,2025-01-14,2025,1,Marketing,Fixed,Operational Expense,88231,15881,104112,Owner,Sale,Cash,Approved
190,4283,1997,2021-07-05,2021,7,Brokerage,Variable,Operational Expense,100505,18090,118595,Owner,Property,Online,Approved
191,3805,2230,2025-03-06,2025,3,Legal,Variable,Operational Expense,114359,20584,134943,Owner,Property,Cheque,Pending
192,1345,1493,2023-01-06,2023,1,Legal,Fixed,Operational Expense,25767,4638,30405,Agent,Sale,Online,Pending
193,4633,1801,2023-10-03,2023,10,Maintenance,Fixed,Operational Expense,155498,27989,183487,Owner,Sale,Cheque,Pending
194,822,1708,2022-03-08,2022,3,Maintenance,Fixed,Operational Expense,178604,32148,210752,Owner,Sale,Cash,Approved
195,328,1992,2024-07-17,2024,7,Legal,Variable,Operational Expense,167890,30220,198110,Agent,Sale,Online,Pending
196,2381,2338,2021-05-03,2021,5,Legal,Variable,Operational Expense,163544,29437,192981,Agent,Property,Cash,Pending
197,1463,2205,2022-12-23,2022,12,Marketing,Variable,Operational Expense,198850,35793,234643,Company,Sale,Online,Pending
198,656,1919,2022-05-31,2022,5,Maintenance,Variable,Operational Expense,173128,31163,204291,Company,Property,Cheque,Approved
199,2969,616,2023-12-02,2023,12,Maintenance,Fixed,Operational Expense,31023,5584,36607,Owner,Property,Cash,Approved
200,968,47,2023-12-26,2023,12,Maintenance,Fixed,Operational Expense,32541,5857,38398,Owner,Sale,Cash,Approved
201,2068,447,2024-12-12,2024,12,Marketing,Fixed,Operational Expense,108276,19489,127765,Company,Property,Online,Approved
202,2204,1310,2025-10-30,2025,10,Admin,Variable,Operational Expense,126164,22709,148873,Company,Sale,Cash,Approved
203,4087,1085,2021-11-08,2021,11,Admin,Fixed,Operational Expense,92635,16674,109309,Company,Property,Cash,Approved
204,153,199,2023-10-12,2023,10,Legal,Variable,Operational Expense,20534,3696,24230,Owner,Sale,Online,Approved
205,3609,1139,2021-01-25,2021,1,Brokerage,Variable,Operational Expense,174362,31385,205747,Company,Property,Cash,Pending
206,1067,2251,2023-07-30,2023,7,Brokerage,Fixed,Operational Expense,35241,6343,41584,Company,Sale,Cheque,Approved
207,331,1525,2023-11-01,2023,11,Marketing,Fixed,Operational Expense,92389,16630,109019,Agent,Sale,Cash,Pending
208,2845,126,2022-02-26,2022,2,Marketing,Fixed,Operational Expense,119350,21483,140833,Agent,Property,Cheque,Approved
209,4386,2060,2024-05-29,2024,5,Brokerage,Variable,Operational Expense,121144,21805,142949,Owner,Property,Cash,Approved
210,2824,1250,2021-05-20,2021,5,Admin,Fixed,Operational Expense,128317,23097,151414,Agent,Sale,Cash,Approved
211,4759,219,2021-04-08,2021,4,Marketing,Fixed,Operational Expense,59362,10685,70047,Company,Sale,Cash,Pending
212,1274,847,2023-01-26,2023,1,Maintenance,Variable,Operational Expense,94346,16982,111328,Owner,Property,Cheque,Pending
213,315,1870,2021-10-29,2021,10,Legal,Fixed,Operational Expense,151867,27336,179203,Agent,Property,Cheque,Approved
214,211,796,2023-04-19,2023,4,Admin,Fixed,Operational Expense,57091,10276,67367,Agent,Property,Cash,Pending
215,3720,1788,2024-05-05,2024,5,Admin,Fixed,Operational Expense,10217,1839,12056,Company,Sale,Online,Pending
216,2400,1403,2021-11-26,2021,11,Legal,Variable,Operational Expense,108121,19461,127582,Company,Sale,Cash,Approved
217,94,2477,2025-05-16,2025,5,Admin,Variable,Operational Expense,47712,8588,56300,Company,Sale,Online,Pending
218,663,1789,2023-05-07,2023,5,Maintenance,Variable,Operational Expense,72392,13030,85422,Company,Property,Cash,Pending
219,490,2106,2025-08-28,2025,8,Maintenance,Variable,Operational Expense,145101,26118,171219,Owner,Sale,Cash,Approved
220,4930,1695,2024-09-22,2024,9,Legal,Variable,Operational Expense,171419,30855,202274,Company,Sale,Online,Pending
221,4302,604,2023-03-05,2023,3,Marketing,Variable,Operational Expense,162986,29337,192323,Owner,Sale,Cash,Approved
222,599,1479,2023-05-18,2023,5,Brokerage,Variable,Operational Expense,160928,28967,189895,Company,Sale,Cheque,Approved
223,2879,1028,2022-03-02,2022,3,Maintenance,Fixed,Operational Expense,31986,5757,37743,Agent,Property,Cheque,Pending
224,4335,1207,2022-09-29,2022,9,Legal,Variable,Operational Expense,184762,33257,218019,Agent,Property,Online,Approved
225,1365,2038,2022-01-27,2022,1,Admin,Fixed,Operational Expense,58840,10591,69431,Owner,Sale,Cheque,Pending
226,2384,978,2023-12-08,2023,12,Maintenance,Fixed,Operational Expense,132357,23824,156181,Owner,Sale,Online,Approved
227,3190,1443,2022-01-17,2022,1,Marketing,Fixed,Operational Expense,130331,23459,153790,Company,Sale,Cheque,Approved
228,4514,2233,2022-06-08,2022,6,Brokerage,Variable,Operational Expense,58662,10559,69221,Company,Property,Cash,Pending
229,1,1797,2021-08-27,2021,8,Maintenance,Variable,Operational Expense,32821,5907,38728,Agent,Sale,Cheque,Pending
