LeaseID,PropertyID,AgentID,CustomerID,LeaseStartDate,LeaseEndDate,AgreementDate,MonthlyRent,SecurityDeposit,MaintenanceCharge,BrokerageAmount,BrokeragePercent,LeaseTenureMonths,RentEscalationPercent,LockInPeriodMonths,NoticePeriodDays,LeaseType,LeaseStatus,PaymentFrequency
35,273,16,163,2021-04-07,2022-03-03,2021-03-28,50046,103075,4769,34131,1,11,10,6,60,Commercial,Expired,Monthly
36,3180,34,986,2022-05-06,2024-04-25,2022-04-26,64864,61928,5882,25185,2,24,5,11,60,Commercial,Expired,Quarterly
37,2338,97,239,2022-03-11,2025-02-23,2022-03-01,51541,33906,7434,39070,1,36,10,11,60,Commercial,Expired,Quarterly
38,622,36,661,2021-07-19,2023-07-09,2021-07-09,60154,127385,2377,42847,2,24,10,11,60,Commercial,Expired,Quarterly
39,1389,86,429,2023-01-05,2023-12-01,2022-12-26,69327,50265,6697,22739,1,11,10,11,60,Residential,Expired,Monthly
40,255,58,835,2021-05-02,2022-03-28,2021-04-22,63801,66136,5642,26937,1,11,10,11,30,Commercial,Active,Quarterly
41,870,20,38,2022-05-11,2023-04-06,2022-05-01,54091,41013,3977,17306,2,11,10,11,60,Residential,Active,Quarterly
42,4319,71,399,2023-05-04,2024-03-29,2023-04-24,61391,133471,4990,32904,1,11,5,6,30,Commercial,Active,Monthly
43,1550,15,556,2024-01-16,2026-01-05,2024-01-06,17902,86823,7936,30545,1,24,5,6,30,Commercial,Active,Monthly
44,3798,29,389,2024-07-18,2027-07-03,2024-07-08,64949,178730,2406,15441,1,36,5,11,60,Commercial,Active,Quarterly
45,671,37,288,2021-10-13,2023-10-03,2021-10-03,34908,134185,5260,11393,1,24,5,6,30,Commercial,Expired,Monthly
46,2179,61,110,2021-07-18,2024-07-02,2021-07-08,65654,39028,2404,21787,1,36,5,6,30,Commercial,Expired,Monthly
47,1151,50,209,2023-04-08,2026-03-23,2023-03-29,15795,154243,5480,42522,2,36,10,11,30,Residential,Expired,Quarterly
48,1451,82,114,2022-06-25,2025-06-09,2022-06-15,41570,101285,5068,43494,1,36,5,6,60,Residential,Active,Quarterly
49,2587,55,908,2023-12-07,2024-11-01,2023-11-27,47765,134088,3056,35045,1,11,5,11,30,Residential,Active,Monthly
50,969,40,876,2023-10-07,2025-09-26,2023-09-27,56870,36938,6064,48696,2,24,5,11,30,Commercial,Expired,Quarterly
51,193,11,960,2022-07-06,2025-06-20,2022-06-26,43155,174755,4740,44659,2,36,10,11,30,Residential,Expired,Quarterly
52,4376,29,113,2024-06-29,2025-05-25,2024-06-19,18696,95461,6777,23204,1,11,5,6,30,Commercial,Active,Monthly
53,2854,82,931,2022-11-11,2024-10-31,2022-11-01,21337,139312,4632,33417,2,24,10,6,60,Commercial,Expired,Monthly
54,2627,54,931,2023-01-27,2023-12-23,2023-01-17,47872,135357,5957,17583,1,11,10,6,30,Commercial,Active,Monthly
55,4369,12,955,2023-12-16,2026-11-30,2023-12-06,57919,32858,6675,33165,2,36,5,6,30,Residential,Active,Quarterly
56,2292,25,904,2023-10-27,2024-09-21,2023-10-17,37513,161988,6454,30903,1,11,5,11,60,Commercial,Active,Quarterly
57,129,23,461,2023-10-21,2025-10-10,2023-10-11,38473,92570,5972,11657,1,24,10,11,30,Residential,Active,Monthly
58,144,68,329,2024-09-11,2026-09-01,2024-09-01,44225,142418,2711,11088,2,24,10,11,30,Residential,Expired,Quarterly
59,3090,11,555,2023-04-17,2026-04-01,2023-04-07,69439,116872,5413,28936,2,36,5,11,60,Commercial,Expired,Monthly
60,690,8,682,2023-04-22,2025-04-11,2023-04-12,41623,45469,3061,37754,1,24,10,11,60,Commercial,Expired,Monthly
61,1051,73,725,2023-03-21,2024-02-14,2023-03-11,33957,199115,2412,13626,2,11,5,6,60,Residential,Active,Quarterly
62,1460,12,650,2022-01-25,2022-12-21,2022-01-15,20509,80796,4796,34806,1,11,5,6,30,Commercial,Expired,Quarterly
63,2696,28,548,2021-06-07,2022-05-03,2021-05-28,24104,95255,7660,35908,2,11,10,11,60,Commercial,Expired,Monthly
64,848,77,727,2023-09-03,2026-08-18,2023-08-24,28416,41680,6650,16931,1,36,5,6,60,Commercial,Expired,Quarterly
65,3499,34,204,2023-10-12,2026-09-26,2023-10-02,31314,46318,2664,31766,1,36,10,6,60,Commercial,Active,Monthly
66,1846,67,339,2022-04-08,2023-03-04,2022-03-29,45970,90950,6253,39386,1,11,5,6,60,Residential,Expired,Quarterly
67,3745,3,326,2021-09-06,2022-08-02,2021-08-27,54608,121878,4228,19815,1,11,10,6,60,Commercial,Active,Quarterly
68,3803,75,76,2021-10-10,2023-09-30,2021-09-30,36823,40693,2356,19529,2,24,10,6,60,Residential,Active,Monthly
69,848,42,379,2022-04-12,2023-03-08,2022-04-02,55323,140466,5708,37670,1,11,5,6,60,Commercial,Active,Monthly
70,50,84,741,2022-03-04,2025-02-16,2022-02-22,42633,40794,2344,48086,1,36,10,6,60,Residential,Expired,Quarterly
71,292,30,913,2024-03-08,2025-02-01,2024-02-27,55294,179050,6272,47954,2,11,5,6,60,Residential,Expired,Monthly
72,3879,73,51,2021-08-27,2022-07-23,2021-08-17,34278,148906,7224,42119,2,11,10,11,60,Residential,Active,Quarterly
73,2320,81,594,2023-04-27,2025-04-16,2023-04-17,43717,107055,7072,44588,2,24,10,11,30,Commercial,Active,Quarterly
74,3914,56,367,2023-03-02,2024-01-26,2023-02-20,64339,72441,7992,21854,1,11,10,6,30,Commercial,Expired,Monthly
75,145,4,710,2021-11-02,2022-09-28,2021-10-23,17005,58282,7634,32340,2,11,10,11,60,Commercial,Active,Monthly
76,4938,37,931,2021-11-06,2023-10-27,2021-10-27,23838,57799,5788,42990,1,24,5,11,30,Commercial,Active,Monthly
77,1034,19,316,2022-10-07,2025-09-21,2022-09-27,60147,157347,2933,17135,2,36,10,6,30,Residential,Expired,Quarterly
78,565,75,531,2023-12-17,2025-12-06,2023-12-07,17849,97619,3397,23033,2,24,5,6,30,Commercial,Expired,Monthly
79,1936,45,174,2024-11-24,2027-11-09,2024-11-14,47224,163261,4312,10863,2,36,10,6,60,Commercial,Active,Quarterly
80,1625,55,964,2024-01-31,2026-01-20,2024-01-21,19614,65020,7013,17132,1,24,5,6,30,Commercial,Expired,Quarterly
81,4767,16,540,2024-07-19,2027-07-04,2024-07-09,42253,92797,3707,30859,2,36,10,6,30,Residential,Active,Quarterly
82,824,31,285,2024-11-18,2027-11-03,2024-11-08,17189,156793,2421,44881,2,36,5,6,60,Commercial,Active,Quarterly
83,1724,74,337,2021-09-15,2023-09-05,2021-09-05,61369,192759,6756,26086,2,24,10,6,60,Residential,Expired,Monthly
84,2709,47,780,2022-07-09,2025-06-23,2022-06-29,23788,126328,6458,16212,1,36,10,6,30,Residential,Expired,Quarterly
85,64,95,150,2023-07-22,2025-07-11,2023-07-12,21467,96787,6237,44810,2,24,10,11,60,Residential,Active,Quarterly
86,3320,98,59,2024-10-20,2027-10-05,2024-10-10,22313,64307,3460,45836,1,36,10,6,30,Residential,Active,Quarterly
87,2808,17,276,2023-11-03,2025-10-23,2023-10-24,28854,87990,3072,11275,1,24,10,11,60,Commercial,Expired,Quarterly
88,4426,1,882,2024-03-05,2025-01-29,2024-02-24,37740,175642,7375,16911,1,11,10,11,30,Commercial,Active,Monthly
89,2731,8,35,2022-11-08,2025-10-23,2022-10-29,64722,46529,6003,42293,1,36,5,6,30,Commercial,Active,Quarterly
90,3349,32,53,2022-07-09,2025-06-23,2022-06-29,31997,90259,3273,30530,1,36,5,11,60,Residential,Expired,Quarterly
91,4445,7,227,2022-08-28,2025-08-12,2022-08-18,53106,183156,2962,36843,1,36,10,11,60,Residential,Expired,Monthly
92,1962,74,462,2021-11-12,2023-11-02,2021-11-02,15159,194410,6160,27903,2,24,5,11,60,Commercial,Expired,Monthly
93,2757,85,338,2022-01-17,2024-01-07,2022-01-07,48427,165196,7813,38988,2,24,10,6,60,Commercial,Expired,Quarterly
94,1586,78,387,2022-04-20,2023-03-16,2022-04-10,34444,82657,6620,34291,2,11,10,11,60,Commercial,Active,Monthly
95,3388,46,147,2021-07-06,2024-06-20,2021-06-26,64150,112857,5302,39712,2,36,10,6,30,Residential,Expired,Monthly
96,3180,67,772,2024-08-24,2025-07-20,2024-08-14,18416,91588,2018,39549,2,11,5,6,60,Commercial,Expired,Monthly
97,235,15,473,2023-12-18,2024-11-12,2023-12-08,61847,153601,2269,16153,1,11,5,6,60,Commercial,Expired,Quarterly
98,757,56,476,2022-10-05,2023-08-31,2022-09-25,22618,160671,2000,33748,2,11,5,11,30,Residential,Expired,Monthly
99,4306,8,169,2023-06-05,2025-05-25,2023-05-26,62102,127320,3091,12470,1,24,5,6,30,Commercial,Active,Monthly
100,1842,66,673,2022-02-23,2025-02-07,2022-02-13,60559,143651,7966,29306,2,36,5,6,30,Residential,Expired,Quarterly
101,719,41,565,2022-08-09,2023-07-05,2022-07-30,20842,148585,4192,34144,1,11,5,6,60,Commercial,Expired,Monthly
102,4608,30,672,2021-02-26,2022-01-22,2021-02-16,37660,100829,3654,47426,1,11,10,11,60,Commercial,Active,Monthly
103,3794,2,354,2022-11-26,2025-11-10,2022-11-16,48238,104670,2453,14904,2,36,5,6,30,Commercial,Active,Monthly
104,1208,58,682,2021-05-22,2022-04-17,2021-05-12,40131,49347,2827,39777,1,11,10,6,30,Commercial,Expired,Monthly
105,4855,44,968,2024-03-01,2027-02-14,2024-02-20,59533,81388,4007,30469,1,36,5,11,60,Residential,Active,Quarterly
106,4637,70,791,2024-10-11,2026-10-01,2024-10-01,67293,87373,2241,14612,2,24,10,6,60,Commercial,Active,Monthly
107,2478,9,586,2021-11-22,2023-11-12,2021-11-12,31672,181766,7275,13739,1,24,10,11,60,Residential,Active,Monthly
108,1913,59,570,2023-11-11,2025-10-31,2023-11-01,61478,188407,7020,26808,1,24,10,6,60,Residential,Expired,Quarterly
109,1856,13,104,2024-07-29,2025-06-24,2024-07-19,54468,175616,7340,25095,1,11,5,11,30,Commercial,Active,Monthly
110,3728,20,327,2021-02-11,2024-01-27,2021-02-01,21350,44593,6837,45576,2,36,10,11,60,Residential,Expired,Quarterly
111,795,22,182,2022-05-28,2023-04-23,2022-05-18,37257,187839,5488,19934,1,11,5,6,60,Commercial,Active,Quarterly
112,255,78,711,2022-07-07,2024-06-26,2022-06-27,25241,170817,2643,10884,1,24,10,6,30,Residential,Active,Monthly
113,2580,40,396,2023-12-20,2025-12-09,2023-12-10,64650,138011,4420,36612,1,24,10,6,30,Residential,Expired,Monthly
114,3694,75,736,2023-08-21,2025-08-10,2023-08-11,48026,58822,6589,27382,2,24,10,6,30,Residential,Expired,Monthly
115,1177,81,533,2023-11-24,2025-11-13,2023-11-14,40085,44919,6497,13340,2,24,10,11,30,Commercial,Expired,Monthly
116,240,20,298,2024-04-23,2026-04-13,2024-04-13,65078,177325,3044,25293,2,24,10,6,60,Commercial,Expired,Monthly
117,4685,37,938,2022-10-15,2023-09-10,2022-10-05,69087,30730,3475,13994,2,11,10,6,60,Commercial,Active,Quarterly
118,2957,59,837,2021-04-29,2022-03-25,2021-04-19,47309,74870,4710,25498,2,11,10,6,30,Residential,Expired,Monthly
119,4617,95,543,2021-07-28,2022-06-23,2021-07-18,33974,183596,7504,17111,1,11,10,6,30,Residential,Expired,Monthly
120,1263,25,237,2022-04-04,2023-02-28,2022-03-25,69275,158675,6716,44380,2,11,5,11,60,Residential,Expired,Monthly
121,3347,28,30,2021-06-12,2024-05-27,2021-06-02,50038,141879,2547,38947,2,36,10,6,30,Commercial,Active,Monthly
122,2381,61,244,2021-06-26,2024-06-10,2021-06-16,49393,139982,6685,25503,1,36,10,11,60,Residential,Expired,Monthly
123,1466,12,868,2024-02-22,2026-02-11,2024-02-12,48298,117989,7145,47140,2,24,10,6,60,Commercial,Active,Quarterly
124,2260,26,524,2022-10-14,2023-09-09,2022-10-04,64869,141265,3508,36206,1,11,5,11,60,Commercial,Active,Monthly
125,505,90,54,2022-12-03,2023-10-29,2022-11-23,66219,122256,7899,47516,1,11,10,11,30,Residential,Active,Quarterly
126,3080,54,731,2022-11-22,2024-11-11,2022-11-12,36205,157805,7380,42633,2,24,5,11,60,Commercial,Expired,Monthly
127,1679,35,549,2021-01-07,2023-12-23,2020-12-28,36465,159511,3094,37397,2,36,10,11,30,Commercial,Active,Quarterly
128,1440,79,636,2022-01-22,2022-12-18,2022-01-12,37500,39597,4219,36487,2,11,10,6,60,Residential,Active,Quarterly
129,580,15,209,2022-06-14,2025-05-29,2022-06-04,42181,71388,2132,18199,1,36,10,11,30,Residential,Active,Quarterly
130,3682,41,862,2022-01-17,2022-12-13,2022-01-07,18969,151307,5495,34447,2,11,5,11,30,Residential,Expired,Monthly
131,1285,68,449,2022-11-20,2023-10-16,2022-11-10,35861,105158,3026,21860,1,11,5,6,30,Commercial,Active,Quarterly
132,119,58,65,2021-02-01,2023-01-22,2021-01-22,30677,112893,3681,40459,1,24,10,6,30,Residential,Expired,Quarterly
133,1739,22,226,2024-10-21,2027-10-06,2024-10-11,68311,76278,7689,44065,1,36,10,6,60,Residential,Expired,Monthly
134,3844,36,604,2024-10-20,2025-09-15,2024-10-10,16974,85732,5703,33597,2,11,10,11,60,Residential,Expired,Monthly
135,4421,1,663,2023-07-12,2024-06-06,2023-07-02,21206,114786,4745,23870,1,11,10,11,30,Commercial,Active,Monthly
136,3095,89,483,2024-05-26,2027-05-11,2024-05-16,46919,121350,6592,15798,2,36,10,6,30,Commercial,Active,Monthly
137,519,98,929,2024-03-01,2027-02-14,2024-02-20,36758,112809,6481,19448,2,36,10,11,30,Commercial,Active,Monthly
138,2670,34,243,2021-06-15,2023-06-05,2021-06-05,69156,100655,6891,47465,1,24,10,6,30,Residential,Active,Monthly
139,4296,15,416,2023-06-09,2025-05-29,2023-05-30,36602,95713,7216,48427,1,24,5,6,60,Commercial,Active,Monthly
140,4754,46,256,2021-11-28,2023-11-18,2021-11-18,26116,168709,2317,13070,2,24,10,11,30,Commercial,Active,Quarterly
141,229,94,479,2022-06-22,2023-05-18,2022-06-12,35633,161890,3746,41637,1,11,10,6,30,Commercial,Active,Monthly
142,3373,11,434,2022-11-20,2025-11-04,2022-11-10,65102,114923,2112,24513,2,36,10,11,30,Commercial,Active,Quarterly
143,3469,92,32,2022-10-24,2024-10-13,2022-10-14,19804,105409,3756,38260,1,24,10,11,60,Commercial,Active,Quarterly
144,1066,14,579,2021-03-11,2023-03-01,2021-03-01,30977,49703,4975,31533,1,24,10,11,60,Commercial,Active,Quarterly
145,2859,41,768,2022-01-02,2022-11-28,2021-12-23,58868,85779,2587,31395,2,11,5,6,60,Residential,Expired,Quarterly
146,1186,27,100,2024-04-19,2027-04-04,2024-04-09,59831,184336,5779,17478,2,36,5,11,60,Commercial,Expired,Monthly
147,2564,88,105,2024-11-01,2026-10-22,2024-10-22,25864,49345,5048,26288,1,24,5,11,30,Residential,Expired,Quarterly
148,4402,73,539,2024-03-15,2026-03-05,2024-03-05,21658,179798,7638,14068,2,24,10,11,60,Commercial,Expired,Monthly
149,2869,55,32,2024-06-18,2026-06-08,2024-06-08,39445,196947,3124,21635,2,24,10,11,30,Residential,Expired,Quarterly
150,2667,75,11,2024-05-31,2026-05-21,2024-05-21,47811,47829,5567,29676,2,24,5,11,60,Residential,Active,Monthly
151,3824,8,654,2021-04-15,2023-04-05,2021-04-05,41463,179350,2314,19814,2,24,5,11,30,Residential,Active,Quarterly
152,1073,59,840,2023-09-26,2026-09-10,2023-09-16,27075,191723,7976,31109,1,36,5,11,30,Residential,Expired,Quarterly
153,3323,10,710,2024-10-18,2026-10-08,2024-10-08,20583,195756,7623,29538,2,24,10,11,30,Commercial,Expired,Quarterly
154,2179,41,631,2022-08-31,2025-08-15,2022-08-21,51086,124009,7015,21034,1,36,10,11,30,Commercial,Expired,Monthly
155,4824,67,313,2021-12-23,2023-12-13,2021-12-13,20771,94218,2427,49757,1,24,10,11,60,Residential,Expired,Monthly
156,314,36,180,2022-01-22,2025-01-06,2022-01-12,66670,187582,7194,14381,2,36,10,6,30,Commercial,Expired,Quarterly
157,3123,26,543,2021-04-29,2023-04-19,2021-04-19,52666,112552,4890,10555,1,24,5,6,60,Commercial,Expired,Quarterly
158,2900,67,752,2023-05-31,2026-05-15,2023-05-21,56073,157908,5716,21840,1,36,5,6,60,Commercial,Active,Quarterly
159,1796,1,143,2023-02-08,2025-01-28,2023-01-29,35092,164843,3244,21927,1,24,10,6,30,Commercial,Expired,Quarterly
160,4328,29,918,2023-03-14,2026-02-26,2023-03-04,37611,189001,7366,10188,2,36,10,6,60,Commercial,Active,Monthly
161,2502,38,624,2022-08-24,2024-08-13,2022-08-14,64558,199946,2199,42820,1,24,5,11,60,Residential,Expired,Monthly
162,2512,34,461,2024-10-16,2027-10-01,2024-10-06,22305,110872,7342,21616,1,36,10,11,60,Commercial,Active,Monthly
163,4290,18,295,2024-03-01,2026-02-19,2024-02-20,17134,33015,7308,49842,1,24,10,11,60,Residential,Active,Quarterly
164,3721,87,42,2021-07-10,2024-06-24,2021-06-30,64767,83113,6899,10114,2,36,5,11,30,Residential,Active,Monthly
165,1437,65,270,2024-04-09,2027-03-25,2024-03-30,29345,157271,5232,31852,2,36,5,6,30,Commercial,Expired,Monthly
166,295,24,289,2022-08-28,2024-08-17,2022-08-18,68829,56429,7973,27739,2,24,10,6,30,Commercial,Active,Monthly
167,1872,30,273,2021-02-05,2022-01-01,2021-01-26,44390,61821,2625,18462,2,11,10,6,60,Residential,Expired,Quarterly
168,351,3,688,2021-04-09,2023-03-30,2021-03-30,19195,35759,7753,16687,1,24,10,11,60,Residential,Active,Quarterly
169,1118,52,441,2023-10-19,2024-09-13,2023-10-09,49839,129083,7360,43563,1,11,10,11,30,Residential,Active,Monthly
170,621,18,585,2024-12-20,2025-11-15,2024-12-10,58718,162253,6951,28936,2,11,10,11,30,Commercial,Active,Quarterly
171,3255,28,135,2023-02-06,2026-01-21,2023-01-27,48100,172628,3426,47903,1,36,5,11,30,Commercial,Active,Monthly
172,2385,74,794,2021-05-20,2023-05-10,2021-05-10,42101,32640,7292,42065,1,24,10,11,30,Commercial,Active,Quarterly
173,1243,80,425,2024-06-11,2026-06-01,2024-06-01,63865,136085,7783,13933,1,24,10,6,60,Residential,Expired,Monthly
174,2790,96,33,2022-12-18,2024-12-07,2022-12-08,40267,166708,5236,19696,2,24,10,11,60,Commercial,Expired,Monthly
175,898,77,508,2024-10-24,2026-10-14,2024-10-14,29952,141761,6906,26570,1,24,10,11,60,Residential,Active,Monthly
176,1115,30,628,2023-02-06,2026-01-21,2023-01-27,66572,145222,5016,36565,2,36,5,6,60,Residential,Active,Quarterly
177,404,86,449,2024-08-10,2027-07-26,2024-07-31,26841,188551,5770,17170,2,36,10,11,30,Commercial,Active,Monthly
178,4599,49,627,2024-11-13,2025-10-09,2024-11-03,49093,38782,5155,15126,2,11,5,11,30,Residential,Expired,Monthly
179,1861,11,1000,2021-12-09,2023-11-29,2021-11-29,60153,52849,4610,40209,2,24,5,6,30,Residential,Active,Monthly
180,3663,55,644,2021-12-08,2022-11-03,2021-11-28,28496,179558,2823,32941,1,11,10,6,60,Commercial,Active,Quarterly
181,1577,46,418,2022-08-01,2025-07-16,2022-07-22,68763,33043,2567,31582,1,36,5,11,60,Commercial,Expired,Monthly
182,1423,87,288,2024-09-05,2026-08-26,2024-08-26,43147,52651,3969,34163,1,24,5,11,60,Residential,Active,Quarterly
183,1820,55,787,2021-04-21,2024-04-05,2021-04-11,58667,158989,4519,38529,2,36,10,11,60,Residential,Expired,Quarterly
184,1925,48,676,2021-08-22,2023-08-12,2021-08-12,46683,96668,4081,33551,2,24,5,6,30,Commercial,Active,Monthly
185,3037,63,347,2022-02-03,2024-01-24,2022-01-24,20710,194706,7418,16777,2,24,10,6,60,Residential,Expired,Quarterly
186,2597,7,695,2023-03-31,2024-02-24,2023-03-21,30983,34912,6860,47755,1,11,10,6,30,Residential,Expired,Quarterly
187,2149,95,940,2024-11-26,2026-11-16,2024-11-16,45204,197512,6385,30797,2,24,5,11,30,Commercial,Expired,Monthly
188,1098,78,861,2023-12-01,2025-11-20,2023-11-21,18084,118766,4035,28893,2,24,10,6,30,Commercial,Active,Monthly
189,417,85,102,2021-09-26,2024-09-10,2021-09-16,45269,165132,5589,33523,2,36,5,11,30,Commercial,Active,Monthly
190,3675,68,311,2024-03-04,2027-02-17,2024-02-23,41077,63135,7150,11518,1,36,10,6,60,Residential,Active,Quarterly
191,4163,96,937,2022-06-06,2025-05-21,2022-05-27,57963,94779,3057,37468,2,36,5,11,30,Residential,Expired,Quarterly
192,2059,21,584,2023-10-13,2024-09-07,2023-10-03,37984,167103,2714,42916,2,11,10,11,60,Residential,Expired,Monthly
193,2691,52,482,2022-04-25,2023-03-21,2022-04-15,44343,47754,2256,31375,2,11,10,6,60,Residential,Expired,Quarterly
194,306,44,949,2024-04-24,2027-04-09,2024-04-14,24843,71881,7867,38061,1,36,10,6,30,Residential,Active,Monthly
195,2130,37,115,2023-07-01,2025-06-20,2023-06-21,34451,53622,6640,40003,1,24,10,6,60,Residential,Expired,Monthly
196,3780,69,224,2024-05-17,2027-05-02,2024-05-07,35435,182370,4774,24746,2,36,10,6,30,Commercial,Active,Monthly
197,1085,57,352,2024-10-11,2026-10-01,2024-10-01,29455,106074,6761,32319,1,24,5,6,60,Commercial,Active,Monthly
198,3,6,777,2024-10-05,2025-08-31,2024-09-25,21242,88434,6325,14040,1,11,5,11,30,Commercial,Expired,Monthly
199,3611,96,86,2021-11-02,2022-09-28,2021-10-23,43654,39781,6701,27930,1,11,10,11,30,Residential,Expired,Quarterly
200,3824,23,334,2021-08-04,2022-06-30,2021-07-25,23582,162437,7314,20038,1,11,5,11,60,Residential,Expired,Quarterly
201,2860,93,314,2022-02-13,2025-01-28,2022-02-03,67128,174144,7544,39237,1,36,5,11,30,Residential,Active,Quarterly
202,55,20,49,2022-12-01,2024-11-20,2022-11-21,20281,77457,4142,18499,1,24,5,11,30,Residential,Active,Quarterly
203,4893,35,571,2022-12-16,2025-11-30,2022-12-06,25461,96321,5152,18207,1,36,10,11,30,Residential,Expired,Monthly
204,349,22,780,2024-05-23,2027-05-08,2024-05-13,50161,144682,4563,24700,1,36,5,11,60,Commercial,Active,Quarterly
205,55,92,455,2024-03-29,2026-03-19,2024-03-19,17623,193497,3798,23915,2,24,5,11,60,Residential,Expired,Quarterly
206,737,76,553,2021-12-12,2022-11-07,2021-12-02,40426,51488,4261,13168,2,11,5,11,30,Commercial,Active,Monthly
207,1949,14,994,2023-11-17,2025-11-06,2023-11-07,21847,54806,4940,16122,1,24,5,11,60,Residential,Active,Quarterly
208,3051,26,321,2023-03-17,2024-02-10,2023-03-07,54587,102782,2033,47242,2,11,5,6,30,Commercial,Active,Quarterly
209,1588,40,718,2024-07-24,2026-07-14,2024-07-14,42162,105562,3812,32984,2,24,5,6,60,Commercial,Active,Monthly
